pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,b_noise_sd,seed
full,-1.0,5,1000,0.845,1.4006383048693871,-0.003509218333930132,0.1665377945499237,0.9670570533432215,0.6907811754054822,0,0.0,2026
full,-1.0,10,1000,0.78,1.581849853758255,-0.024971978620273283,0.2634440854019058,0.8872011634823065,0.560921384093878,0,0.0,2026
full,-1.0,20,1000,0.706,1.8783002466512753,0.04194612369696788,0.2875410809688386,0.8070639363186266,0.4293117894387295,0,0.0,2026
full,-1.0,40,1000,0.627,2.2929234287823124,0.049138321783071516,0.3243716416812103,0.7283586172652892,0.31708987526547106,0,0.0,2026
full,0.0,5,1000,0.852,1.3841213791085425,-0.018550364783149365,0.19942724457565916,0.9730557032236747,0.703237218961761,0,0.0,2026
full,0.0,10,1000,0.795,1.5615908107562855,-0.08397982670804577,0.2365381825377271,0.8969201142383096,0.5721260055743785,0,0.0,2026
full,0.0,20,1000,0.718,1.8606771942815428,-0.05105775175683178,0.2806191659665033,0.8232934008900034,0.44183904125563206,0,0.0,2026
full,0.0,40,1000,0.618,2.427376774373016,-0.07386377025302915,0.3174158891573041,0.7965326828096192,0.32689502143218424,0,0.0,2026
full,0.5,5,1000,0.881,1.2844210877280597,-0.04131750108991365,0.18160811511787256,0.9435671417204428,0.7342870522600431,0,0.0,2026
full,0.5,10,1000,0.804,1.5282875359030577,-0.10729737346791404,0.2290873094726643,0.9328900328040398,0.6066677262630243,0,0.0,2026
full,0.5,20,1000,0.735,1.8159525832950059,-0.0715484187446082,0.2722908949408134,0.8602816929692203,0.4723307313421188,0,0.0,2026
full,0.5,40,1000,0.667,2.189661118418224,-0.08400308870356935,0.3256168190318956,0.7766233042279781,0.35277293716242414,0,0.0,2026
filtered,-1.0,5,1000,0.875,1.299236078396562,0.028522175609458078,0.23143818660252238,0.8973014234402642,0.6906341139037177,0,0.0,2026
filtered,-1.0,10,1000,0.811,1.4792698269907596,0.02607450397269427,0.33032062044893123,0.8307061596611374,0.5615691510391971,0,0.0,2026
filtered,-1.0,20,1000,0.768,1.6597908145691411,-0.02920715293435069,0.3864977119011314,0.715582001305284,0.43098410296077794,0,0.0,2026
filtered,-1.0,40,1000,0.688,2.0466397131658347,-0.001685100488172015,0.4087435066484728,0.6529115955018037,0.31917494638286875,0,0.0,2026
filtered,0.0,5,1000,0.859,1.31653149882955,-0.053858311055007456,0.2270809222659528,0.9266369854677425,0.7030088980289441,0,0.0,2026
filtered,0.0,10,1000,0.833,1.4306794948553405,-0.02065325010500271,0.30868472853538104,0.8207595013086637,0.57379040237088,0,0.0,2026
filtered,0.0,20,1000,0.771,1.6584209685117253,-0.05880572316765772,0.381054760772625,0.7420682834046414,0.44627071309239696,0,0.0,2026
filtered,0.0,40,1000,0.688,2.043482568324338,-0.03944374438503195,0.4185519261201846,0.6742381789750916,0.32954537595009603,0,0.0,2026
filtered,0.5,5,1000,0.877,1.2767443948264159,-0.0702298517426184,0.22217804094405114,0.9363892419385418,0.7317197662210926,0,0.0,2026
filtered,0.5,10,1000,0.843,1.400692901530944,-0.03247350922945783,0.2857013571557282,0.8532231183088309,0.6090068337581518,0,0.0,2026
filtered,0.5,20,1000,0.805,1.5253879344427077,-0.07056530983657844,0.385112726799914,0.7312679397102593,0.47739954123411404,0,0.0,2026
filtered,0.5,40,1000,0.724,1.8243840323559388,-0.04791496739625767,0.419736333836514,0.6531781741046834,0.3572407479052788,0,0.0,2026
