pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,s_shrink,fit_slope,b_noise_sd,seed
full,-1.0,5,1000,0.946,1.0212003680948356,-0.015063142263287326,0.08358452022247304,0.9605418710058276,0.9409557189692079,0,0,group,0.0,2026
full,-1.0,10,1000,0.942,1.0393438627539995,-0.014552358302053533,0.1669352176810946,0.9260235806878128,0.8913051441330881,0,0,group,0.0,2026
full,-1.0,20,1000,0.936,1.0599777633912635,0.03937344306441511,0.275555076621704,0.862127854246072,0.8129031174386347,0,0,group,0.0,2026
full,-1.0,40,1000,0.945,1.0367501529928258,0.01906362961410654,0.45933260716639296,0.7288971086624452,0.7031707354646591,0,0,group,0.0,2026
full,0.0,5,1000,0.938,1.0578973195492036,-0.014398372624155805,0.08829613922367524,0.9992083201388746,0.9448974724209919,0,0,group,0.0,2026
full,0.0,10,1000,0.941,1.0041590041733595,-0.07149059437301959,0.18667486380295525,0.9053442026062405,0.8992288585217012,0,0,group,0.0,2026
full,0.0,20,1000,0.922,1.059586425730386,-0.035714272574725626,0.25931127154932304,0.8725535614069132,0.8232066457473477,0,0,group,0.0,2026
full,0.0,40,1000,0.917,1.1234300962629697,-0.04463932781359451,0.41107736023532504,0.8048004583124937,0.7156329529059778,0,0,group,0.0,2026
full,0.5,5,1000,0.948,1.0152002166799905,-0.04335871915351951,0.06323925524515273,0.9687731738858938,0.9537888662037501,0,0,group,0.0,2026
full,0.5,10,1000,0.938,1.0573026913753436,-0.09113133676335974,0.1365305868475364,0.9689386680823648,0.9128192562089736,0,0,group,0.0,2026
full,0.5,20,1000,0.934,1.024572555015974,-0.051568238176127976,0.25651493211184745,0.8670618661023112,0.8451915768681153,0,0,group,0.0,2026
full,0.5,40,1000,0.938,1.0281127344685157,-0.08540991240644687,0.4277189159849666,0.7719637779964886,0.7466187668292927,0,0,group,0.0,2026
filtered,-1.0,5,1000,0.938,1.0125711633099905,0.04242938024951985,0.22443192097887504,0.8695549430270633,0.8581656143016974,0,0,group,0.0,2026
filtered,-1.0,10,1000,0.934,1.056689719158589,0.03921238183888426,0.3700822151747577,0.8087136279021326,0.7648097506237453,0,0,group,0.0,2026
filtered,-1.0,20,1000,0.941,1.0505927074539483,0.0027787895730182477,0.5192948379127259,0.676579460534608,0.6443146712400271,0,0,group,0.0,2026
filtered,-1.0,40,1000,0.93,1.0916563553299732,0.012344710787652306,0.6300031039698105,0.5609142354759771,0.5139520083658818,0,0,group,0.0,2026
filtered,0.0,5,1000,0.94,1.040626816010876,-0.05322084457702127,0.20759857209747176,0.9022318117578227,0.865931381949954,0,0,group,0.0,2026
filtered,0.0,10,1000,0.942,1.0351251744529983,-0.04092156753110279,0.34523799244630304,0.8038849218581788,0.7759877138346101,0,0,group,0.0,2026
filtered,0.0,20,1000,0.928,1.0916074673771068,-0.07683637800849186,0.48892857169655174,0.7233295616417152,0.6592084468273991,0,0,group,0.0,2026
filtered,0.0,40,1000,0.922,1.1300314333590245,-0.07437116821189503,0.6366947188228124,0.5997102088186884,0.526869107128658,0,0,group,0.0,2026
filtered,0.5,5,1000,0.945,1.0356692364900437,-0.08492870495266362,0.19708695968786216,0.9180285644085411,0.8830512823786923,0,0,group,0.0,2026
filtered,0.5,10,1000,0.943,1.0214196247002418,-0.0642621603967883,0.32630165892565377,0.8223085017276096,0.8030038250292818,0,0,group,0.0,2026
filtered,0.5,20,1000,0.945,1.0003736902540916,-0.09486117802679547,0.48928792759143425,0.6964516305499346,0.6900484106688547,0,0,group,0.0,2026
filtered,0.5,40,1000,0.937,1.054343788073717,-0.09779997658168679,0.6142882624323546,0.5971923290936156,0.5590439530399356,0,0,group,0.0,2026
