pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,s_shrink,fit_slope,b_noise_sd,seed
full,-1.0,5,1000,0.937,1.0157700490168937,-0.015113134919517513,0.07958943826871313,0.9591638895914291,0.9446278711206787,0,0,group,0.0,2026
full,-1.0,10,1000,0.938,1.044049156724593,-0.03962613779130043,0.14916580681117605,0.9347874267586487,0.8949908925573432,0,0,group,0.0,2026
full,-1.0,20,1000,0.936,1.0217399178326207,0.04107449865559026,0.2931205585388874,0.8380744208163714,0.8196666359953565,0,0,group,0.0,2026
full,-1.0,40,1000,0.945,1.043481383628396,0.0412580794862413,0.4390640204259136,0.7405834081860739,0.7089760029172035,0,0,group,0.0,2026
full,0.0,5,1000,0.942,1.0409853416542785,-0.00749357370477328,0.09857236156772377,0.9853029466197789,0.9469561367957413,0,0,group,0.0,2026
full,0.0,10,1000,0.946,1.0150486037548492,-0.06363637575455501,0.1619077106852552,0.9211020903405798,0.9057310390719281,0,0,group,0.0,2026
full,0.0,20,1000,0.937,1.0452584068681352,-0.0392877510913936,0.2571514882171334,0.8660399690641516,0.8281026608743817,0,0,group,0.0,2026
full,0.0,40,1000,0.922,1.1083433270207348,-0.04416347033149199,0.42099058790938326,0.8042830954589761,0.7249301555106841,0,0,group,0.0,2026
full,0.5,5,1000,0.957,1.0130667261378898,-0.04904062451813565,0.0629864846394161,0.9687793204930374,0.9555356890050544,0,0,group,0.0,2026
full,0.5,10,1000,0.93,1.0624895310117952,-0.08261737844203049,0.12350488275901308,0.9749566118936405,0.914772227718622,0,0,group,0.0,2026
full,0.5,20,1000,0.936,1.0209221435308922,-0.04428402361392645,0.25638009959568353,0.8702528705271667,0.8517400740451854,0,0,group,0.0,2026
full,0.5,40,1000,0.93,1.0804772471681168,-0.07881401706556133,0.38133673260188583,0.8157817744286038,0.7518640144918185,0,0,group,0.0,2026
filtered,-1.0,5,1000,0.939,1.0219991087633415,0.03058632186532443,0.2060007592560963,0.8813980712315661,0.8623373190261586,0,0,group,0.0,2026
filtered,-1.0,10,1000,0.935,1.06198975107998,0.04114511472861144,0.3529624695129751,0.8190532435107672,0.7706556910186789,0,0,group,0.0,2026
filtered,-1.0,20,1000,0.936,1.0610317886463683,-0.015283775835926012,0.4981949425116096,0.6909338777141496,0.6513569753545505,0,0,group,0.0,2026
filtered,-1.0,40,1000,0.925,1.1010342680553866,0.002758572909730394,0.6162798601750271,0.5735638666932005,0.5211865274891911,0,0,group,0.0,2026
filtered,0.0,5,1000,0.944,1.0451876379912954,-0.058629127662702986,0.19794634231874594,0.910728192337521,0.8699814305000176,0,0,group,0.0,2026
filtered,0.0,10,1000,0.942,1.0395616526879836,-0.04017406703978686,0.3267416175349609,0.8133026531592085,0.7817874789451713,0,0,group,0.0,2026
filtered,0.0,20,1000,0.935,1.0715114698081405,-0.07731949654036419,0.48824592507199016,0.7177593250448928,0.6662921408082828,0,0,group,0.0,2026
filtered,0.0,40,1000,0.916,1.115214305973859,-0.07321460973362305,0.6233950380713378,0.5997212180742846,0.5340078765046435,0,0,group,0.0,2026
filtered,0.5,5,1000,0.944,1.0315481072141284,-0.07883397185775912,0.19361609815376193,0.9184918021847303,0.8875594695599112,0,0,group,0.0,2026
filtered,0.5,10,1000,0.937,1.0381103320683487,-0.05356276577495064,0.29740771913159186,0.8404971586106917,0.8084000278820526,0,0,group,0.0,2026
filtered,0.5,20,1000,0.943,1.0144853871557062,-0.10345984662543653,0.4705050434476442,0.7142000937153618,0.6969250754833931,0,0,group,0.0,2026
filtered,0.5,40,1000,0.942,1.0472572636981714,-0.084842466983723,0.6070022890383481,0.5998705201220446,0.5673271921649076,0,0,group,0.0,2026
