pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,s_shrink,b_noise_sd,seed
full,-1.0,5,1000,0.83,1.4032032579013407,-0.001983441512962912,0.1705969379370289,0.9685769385270393,0.6906052656344734,1,0,0.0,2026
full,-1.0,10,1000,0.793,1.6070777016561164,-0.042031144148260195,0.23036156132512636,0.8994497418483094,0.5593486367437434,1,0,0.0,2026
full,-1.0,20,1000,0.684,1.9436423481371974,0.05092757948407644,0.2538097439618106,0.8335187848250649,0.42825666928797584,1,0,0.0,2026
full,-1.0,40,1000,0.621,2.3901714214945966,0.04193552610076146,0.29851840139750063,0.7587210303940494,0.3171070851877657,1,0,0.0,2026
full,0.0,5,1000,0.84,1.3941813517564474,-0.03154535460101992,0.20079598463419684,0.9799606975492202,0.7028805323622274,1,0,0.0,2026
full,0.0,10,1000,0.795,1.5756868499742636,-0.08939842031265675,0.24113744458662642,0.9066901627830366,0.5729079937741699,1,0,0.0,2026
full,0.0,20,1000,0.735,1.8480708234274277,-0.0685970057401257,0.27856213979831124,0.8167101040978757,0.4405845367603457,1,0,0.0,2026
full,0.0,40,1000,0.614,2.5030424113366063,-0.07125923132833432,0.2885278601679014,0.8189238772558614,0.3260935019345509,1,0,0.0,2026
full,0.5,5,1000,0.86,1.3151083400558568,-0.0635408862154406,0.1765802021599186,0.9660086095620185,0.7333227835001769,1,0,0.0,2026
full,0.5,10,1000,0.796,1.5727214297511511,-0.13196875245490128,0.21726152850719954,0.9602511692507595,0.6050757102311463,1,0,0.0,2026
full,0.5,20,1000,0.734,1.805214289421599,-0.11895517494553363,0.2820625963126629,0.8541445428976316,0.4687775182743229,1,0,0.0,2026
full,0.5,40,1000,0.643,2.343566808811727,-0.12759449226009936,0.2838594677723655,0.8286040222090562,0.3495231217829342,1,0,0.0,2026
filtered,-1.0,5,1000,0.857,1.338061398435079,0.018817771778634203,0.21201591217836285,0.924784076814659,0.6913399091228453,1,0,0.0,2026
filtered,-1.0,10,1000,0.8,1.5189846782240117,0.04104814665301109,0.3085593820122712,0.852583448673703,0.5609147087722927,1,0,0.0,2026
filtered,-1.0,20,1000,0.749,1.746843153443705,0.0005006510899869792,0.3506599159979218,0.7504360410324366,0.429810410931025,1,0,0.0,2026
filtered,-1.0,40,1000,0.662,2.2166665297605195,0.03413253061242358,0.3582380106715914,0.7044847506266004,0.31759828628494113,1,0,0.0,2026
filtered,0.0,5,1000,0.834,1.3751588164954007,-0.05438837333238272,0.19061136420859906,0.9677532969077368,0.702978608639894,1,0,0.0,2026
filtered,0.0,10,1000,0.827,1.476157678609105,-0.045561124122439074,0.29753292983797247,0.8467174576067031,0.5730511326176877,1,0,0.0,2026
filtered,0.0,20,1000,0.746,1.7755380525417568,-0.10681216205743956,0.33742211165856045,0.7940855802092028,0.44339398194715374,1,0,0.0,2026
filtered,0.0,40,1000,0.662,2.2526289579065133,-0.05043550294724324,0.35626586539466604,0.7401067026812237,0.3279526684215659,1,0,0.0,2026
filtered,0.5,5,1000,0.868,1.3257858095671509,-0.08279742417016127,0.19719409548171551,0.9720002566212873,0.7308510772588307,1,0,0.0,2026
filtered,0.5,10,1000,0.817,1.4557645736966438,-0.0970287393468756,0.2719647270361937,0.8845340612867726,0.6042433835754538,1,0,0.0,2026
filtered,0.5,20,1000,0.771,1.6594471964234132,-0.11475164970984057,0.33019925160795666,0.793540344569672,0.47340611302975116,1,0,0.0,2026
filtered,0.5,40,1000,0.707,1.9698655700731056,-0.10134102378603171,0.38309531915445094,0.7028504104600299,0.35324952970332835,1,0,0.0,2026
