pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,s_shrink,fit_slope,b_noise_sd,seed
full,-1.0,5,1000,0.821,1.4623246565867618,-0.025879426513630805,0.11651250459016486,1.0095960734129554,0.6905233635178563,0,1,unit,0.0,2026
full,-1.0,10,1000,0.734,1.7463478393692133,-0.04625254902374287,0.1534409644912856,0.9774394386416385,0.5593576514238017,0,1,unit,0.0,2026
full,-1.0,20,1000,0.639,2.111719772465762,0.010288515110925172,0.1748396346067893,0.9036595680452993,0.428112265744851,0,1,unit,0.0,2026
full,-1.0,40,1000,0.523,2.6246491937164573,0.014715756298924612,0.21239494935573314,0.8291756707641406,0.3160269618348544,0,1,unit,0.0,2026
full,0.0,5,1000,0.826,1.4856562530069826,0.03226610855740861,0.11104569363978861,1.0468501727936717,0.7046558496996058,0,1,unit,0.0,2026
full,0.0,10,1000,0.758,1.683794729994088,-0.022740280840913854,0.157079806415004,0.9678718443717195,0.57494468460905,0,1,unit,0.0,2026
full,0.0,20,1000,0.665,2.0334615244822576,-0.000744862212194997,0.1759767226603752,0.898468714531873,0.4420629386689504,0,1,unit,0.0,2026
full,0.0,40,1000,0.543,2.7365326906214107,-0.01036970648111666,0.20619758632695023,0.8949231135525861,0.3271697808448223,0,1,unit,0.0,2026
full,0.5,5,1000,0.85,1.3672143459337933,0.008994381249093917,0.10217482163002828,1.008158680127525,0.7377211904363126,0,1,unit,0.0,2026
full,0.5,10,1000,0.771,1.6481705929156054,-0.03153144447289126,0.140048021387162,1.0090887105041348,0.6122549646851176,0,1,unit,0.0,2026
full,0.5,20,1000,0.655,1.9831318416739374,0.006109444824536309,0.1603824229754568,0.9444723545806982,0.4764812683665336,0,1,unit,0.0,2026
full,0.5,40,1000,0.559,2.454261315122885,0.015272314904817598,0.20323238277841807,0.8763928097923809,0.35721468727988315,0,1,unit,0.0,2026
filtered,-1.0,5,1000,0.886,1.261089046072836,0.02912149334346762,0.2608661277116846,0.8715934292038903,0.6911031983386482,0,1,unit,0.0,2026
filtered,-1.0,10,1000,0.82,1.4585795677863984,0.018836272545397433,0.34310405927339754,0.819599705269021,0.562049026085852,0,1,unit,0.0,2026
filtered,-1.0,20,1000,0.773,1.64145694064851,-0.03793753099236563,0.38927748976059534,0.7080287285732101,0.43093752201612495,0,1,unit,0.0,2026
filtered,-1.0,40,1000,0.654,2.030871757262875,-0.014691499361800317,0.4113732568358279,0.6485801975693873,0.3194383051534555,0,1,unit,0.0,2026
filtered,0.0,5,1000,0.864,1.316275692480227,-0.04171337906857146,0.2214030088253529,0.9264343820180488,0.7034680637759612,0,1,unit,0.0,2026
filtered,0.0,10,1000,0.825,1.4236819664333213,0.00020517296606008983,0.31015754419409725,0.8178816673410585,0.5747708467773673,0,1,unit,0.0,2026
filtered,0.0,20,1000,0.765,1.6442267128952361,-0.01816658791004671,0.38119152810003104,0.7367411461128487,0.44816549025926855,0,1,unit,0.0,2026
filtered,0.0,40,1000,0.667,1.9925405107761875,0.0039189699997133265,0.4271934991902599,0.6599711113578512,0.33138081735786956,0,1,unit,0.0,2026
filtered,0.5,5,1000,0.877,1.2791824966860406,-0.03844274171391438,0.21078717007017375,0.9387164079996585,0.7335921451861355,0,1,unit,0.0,2026
filtered,0.5,10,1000,0.84,1.3715185295938526,0.006514316172812702,0.2956917866902207,0.8393928781218193,0.61230496013327,0,1,unit,0.0,2026
filtered,0.5,20,1000,0.802,1.504209119561096,-0.013960542369998311,0.3827869384979029,0.724663615405024,0.4819088357120387,0,1,unit,0.0,2026
filtered,0.5,40,1000,0.71,1.792411117879338,0.005230338321499245,0.42343460222335916,0.6469925070046209,0.3611309299906346,0,1,unit,0.0,2026
