pool,theta,n_items,draws,coverage,kappa,bias,attenuation_slope,rmse,mean_se,s_obs_noise,b_noise_sd,seed
full,-1.0,5,50,0.9,1.1987991046173945,-0.1762589481751381,0.1808074831412553,0.8379165161860046,0.690261648334129,0,0.0,2026
full,-1.0,10,50,0.86,1.5627902095621942,0.1566528424866364,0.21475284361770974,0.8783252092924538,0.5586269561920617,0,0.0,2026
full,-1.0,20,50,0.64,2.2131003222890255,0.061967615833185725,0.22598714502367953,0.9430984707107891,0.4295397647347162,0,0.0,2026
full,-1.0,40,50,0.58,2.521235164394954,0.1159958117459421,0.3047255839628715,0.7981195119125011,0.3163775587907142,0,0.0,2026
full,0.0,5,50,0.88,1.2973931021108998,-0.2767418382126865,0.31076717140764504,0.9479820412572872,0.7059492001332637,0,0.0,2026
full,0.0,10,50,0.92,1.0157179517037915,-0.20315120345480145,0.5398632074828561,0.6176433371699802,0.5800817602193366,0,0.0,2026
full,0.0,20,50,0.86,1.4505860553966858,-0.15529128332315265,0.35378834842440193,0.6538269757724111,0.4422802977453516,0,0.0,2026
full,0.0,40,50,0.62,2.659394070286081,-0.17426443194925853,0.30060290960976865,0.8776386226805484,0.3267272357496161,0,0.0,2026
full,0.5,5,50,0.88,1.211223445329223,-0.02125430893076163,0.22578848232904247,0.8788223531997695,0.7327177943459319,0,0.0,2026
full,0.5,10,50,0.88,1.3105380947017773,-0.2439397661336122,0.39958483059415534,0.8168833578252165,0.6009173380500847,0,0.0,2026
full,0.5,20,50,0.78,1.6515570467866116,-0.07862636368214244,0.3563315803593124,0.781033092866547,0.47528152957721653,0,0.0,2026
full,0.5,40,50,0.62,2.231628338458606,-0.19064007752878054,0.3542944697857976,0.7979670907244145,0.35074240153665537,0,0.0,2026
filtered,-1.0,5,50,0.8,1.5352358517804694,-0.03299749212469704,0.07434633596543369,1.054357208070054,0.6934047921123717,0,0.0,2026
filtered,-1.0,10,50,0.78,1.462983047348921,-0.11501708824063049,0.3322737179543425,0.8144360700365717,0.5567114191240138,0,0.0,2026
filtered,-1.0,20,50,0.8,1.4939522136317134,0.06360687351715867,0.40148507301247166,0.6362592769228581,0.4280586667113656,0,0.0,2026
filtered,-1.0,40,50,0.76,1.6490666276469217,0.08539093914561528,0.5094752165586571,0.5321525363354611,0.32175140017239756,0,0.0,2026
filtered,0.0,5,50,0.86,1.3972873243459214,-0.054038603461708,0.1927192953330768,0.9790447158232424,0.7067099708178758,0,0.0,2026
filtered,0.0,10,50,0.82,1.6130053472599293,0.11217996725859143,0.20638085274726956,0.9124363087786053,0.5670826267830088,0,0.0,2026
filtered,0.0,20,50,0.76,1.5543161856796865,-0.12432971347630006,0.3931412562653497,0.704407686140804,0.45060836431357415,0,0.0,2026
filtered,0.0,40,50,0.64,2.210114874265104,0.03464190877294758,0.40106435284206005,0.7262707469626977,0.3315706381507394,0,0.0,2026
filtered,0.5,5,50,0.86,1.2628107102358372,-0.0330176754484478,0.20908069387166237,0.9159225703926654,0.7321922047569548,0,0.0,2026
filtered,0.5,10,50,0.84,1.5079220001991849,-0.0012535694761711192,0.31464240970000934,0.9120474962801501,0.6109773773200433,0,0.0,2026
filtered,0.5,20,50,0.82,1.1633373764559087,0.1234913362323762,0.5247060927825611,0.5665974158018233,0.4801618034913952,0,0.0,2026
filtered,0.5,40,50,0.68,2.070915297677982,-0.1619323842124517,0.39688554792360203,0.7633769471054203,0.363886462016227,0,0.0,2026
