pool,pool_size,theta,arm,draws,tau,fit_slope,seed,median_items,iqr_lo,iqr_hi,mean_items,censor_rate,mean_abs_err,coverage_at_stop,max_exposure_share
full,204,-1.0,adaptive,500,0.5,group,2026,65.0,64.0,68.0,66.762,0.004,0.41709177780841433,0.936,0.006590575477067793
full,204,-1.0,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,1.0,0.48982747684062533,0.92,0.005392156862745098
full,204,0.0,adaptive,500,0.5,group,2026,71.0,66.0,80.0,73.97,0.034,0.4452604112458715,0.914,0.00670542111666892
full,204,0.0,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,1.0,0.4732773283041332,0.924,0.005450980392156863
full,204,0.5,adaptive,500,0.5,group,2026,90.5,75.0,102.0,88.23,0.366,0.41782516865618263,0.918,0.006143035248781593
full,204,0.5,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,1.0,0.4752131172046427,0.956,0.005431372549019608
full,40,-1.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6001966759292903,0.944,0.025
full,40,-1.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6060313390078723,0.94,0.025
full,40,0.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.5980760781491685,0.948,0.025
full,40,0.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6178841811837904,0.94,0.025
full,40,0.5,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6597642440113186,0.944,0.025
full,40,0.5,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6285293999524942,0.944,0.025
full,20,-1.0,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.7074694684976052,0.946,0.05
full,20,-1.0,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.7094634462710576,0.928,0.05
full,20,0.0,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.7290883173043816,0.916,0.05
full,20,0.0,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.6515691108333924,0.968,0.05
full,20,0.5,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.6982210558205882,0.946,0.05
full,20,0.5,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.6795692928859371,0.948,0.05
filtered,102,-1.0,adaptive,500,0.5,group,2026,38.0,37.0,39.0,39.244,0.0,0.4079759484406916,0.93,0.016512078279482215
filtered,102,-1.0,random,500,0.5,group,2026,54.0,51.0,57.0,54.93,0.0,0.4120064044830763,0.948,0.010558893136719462
filtered,102,0.0,adaptive,500,0.5,group,2026,41.0,39.0,46.0,44.096,0.0,0.39919199051754933,0.956,0.01446843251088534
filtered,102,0.0,random,500,0.5,group,2026,57.0,53.0,63.0,59.104,0.0,0.41285281232711646,0.942,0.01062533838657282
filtered,102,0.5,adaptive,500,0.5,group,2026,50.0,42.0,61.25,54.914,0.038,0.4016882195824566,0.942,0.01318425173908293
filtered,102,0.5,random,500,0.5,group,2026,68.0,58.0,82.0,70.722,0.058,0.431516212751098,0.92,0.010661463193914198
filtered,40,-1.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.4394642431309452,0.936,0.025
filtered,40,-1.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.41871360143031133,0.956,0.025
filtered,40,0.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.4588996508369455,0.942,0.025
filtered,40,0.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.47972008334195754,0.948,0.025
filtered,40,0.5,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.49926701106571747,0.94,0.025
filtered,40,0.5,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.48202562460958837,0.936,0.025
filtered,20,-1.0,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.5241691655632419,0.926,0.05
filtered,20,-1.0,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.5649739178621317,0.918,0.05
filtered,20,0.0,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.5652003176780279,0.93,0.05
filtered,20,0.0,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.5582048604992297,0.952,0.05
filtered,20,0.5,adaptive,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.5875952677649818,0.932,0.05
filtered,20,0.5,random,500,0.5,group,2026,20.0,20.0,20.0,20.0,1.0,0.6019728879521491,0.948,0.05
