pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,adaptive,500,0.5,group,2026,1,0.9702274557559143,500
full,204,-1.0,adaptive,500,0.5,group,2026,2,0.9430134593370979,500
full,204,-1.0,adaptive,500,0.5,group,2026,3,0.9180334433144901,500
full,204,-1.0,adaptive,500,0.5,group,2026,4,0.8949533607580542,500
full,204,-1.0,adaptive,500,0.5,group,2026,5,0.8736151229805653,500
full,204,-1.0,adaptive,500,0.5,group,2026,6,0.8537543001981899,500
full,204,-1.0,adaptive,500,0.5,group,2026,7,0.835255641635881,500
full,204,-1.0,adaptive,500,0.5,group,2026,8,0.8179304681945685,500
full,204,-1.0,adaptive,500,0.5,group,2026,9,0.8017341879268345,500
full,204,-1.0,adaptive,500,0.5,group,2026,10,0.7864014421972317,500
full,204,-1.0,adaptive,500,0.5,group,2026,11,0.7719278787695542,500
full,204,-1.0,adaptive,500,0.5,group,2026,12,0.7582704958768768,500
full,204,-1.0,adaptive,500,0.5,group,2026,13,0.7453653411584631,500
full,204,-1.0,adaptive,500,0.5,group,2026,14,0.7331800503280306,500
full,204,-1.0,adaptive,500,0.5,group,2026,15,0.7215817321166006,500
full,204,-1.0,adaptive,500,0.5,group,2026,16,0.7106332845384565,500
full,204,-1.0,adaptive,500,0.5,group,2026,17,0.7002827139765413,500
full,204,-1.0,adaptive,500,0.5,group,2026,18,0.690324376856049,500
full,204,-1.0,adaptive,500,0.5,group,2026,19,0.6808556468172648,500
full,204,-1.0,adaptive,500,0.5,group,2026,20,0.6718793141188241,500
full,204,-1.0,adaptive,500,0.5,group,2026,21,0.663278761623354,500
full,204,-1.0,adaptive,500,0.5,group,2026,22,0.6550492862399144,500
full,204,-1.0,adaptive,500,0.5,group,2026,23,0.6472023964004939,500
full,204,-1.0,adaptive,500,0.5,group,2026,24,0.6396523221423839,500
full,204,-1.0,adaptive,500,0.5,group,2026,25,0.6325296464901792,500
full,204,-1.0,adaptive,500,0.5,group,2026,26,0.6257011131854627,500
full,204,-1.0,adaptive,500,0.5,group,2026,27,0.6190197105919738,500
full,204,-1.0,adaptive,500,0.5,group,2026,28,0.612714351621599,500
full,204,-1.0,adaptive,500,0.5,group,2026,29,0.6065410917645561,500
full,204,-1.0,adaptive,500,0.5,group,2026,30,0.6006777020970401,500
full,204,-1.0,adaptive,500,0.5,group,2026,31,0.594882799817761,500
full,204,-1.0,adaptive,500,0.5,group,2026,32,0.5893407326832537,500
full,204,-1.0,adaptive,500,0.5,group,2026,33,0.5839874098419775,500
full,204,-1.0,adaptive,500,0.5,group,2026,34,0.5788361847171055,500
