pool,pool_size,theta,arm,draws,tau,fit_slope,seed,item_idx,count
filtered,102,-1.0,adaptive,500,0.5,group,2026,0,256
filtered,102,-1.0,adaptive,500,0.5,group,2026,1,222
filtered,102,-1.0,adaptive,500,0.5,group,2026,2,148
filtered,102,-1.0,adaptive,500,0.5,group,2026,3,137
filtered,102,-1.0,adaptive,500,0.5,group,2026,4,185
filtered,102,-1.0,adaptive,500,0.5,group,2026,5,264
filtered,102,-1.0,adaptive,500,0.5,group,2026,6,234
filtered,102,-1.0,adaptive,500,0.5,group,2026,7,237
filtered,102,-1.0,adaptive,500,0.5,group,2026,8,209
filtered,102,-1.0,adaptive,500,0.5,group,2026,9,237
filtered,102,-1.0,adaptive,500,0.5,group,2026,10,140
filtered,102,-1.0,adaptive,500,0.5,group,2026,11,216
filtered,102,-1.0,adaptive,500,0.5,group,2026,12,199
filtered,102,-1.0,adaptive,500,0.5,group,2026,13,270
filtered,102,-1.0,adaptive,500,0.5,group,2026,14,237
filtered,102,-1.0,adaptive,500,0.5,group,2026,15,251
filtered,102,-1.0,adaptive,500,0.5,group,2026,16,140
filtered,102,-1.0,adaptive,500,0.5,group,2026,17,89
filtered,102,-1.0,adaptive,500,0.5,group,2026,18,234
filtered,102,-1.0,adaptive,500,0.5,group,2026,19,218
filtered,102,-1.0,adaptive,500,0.5,group,2026,20,233
filtered,102,-1.0,adaptive,500,0.5,group,2026,21,227
filtered,102,-1.0,adaptive,500,0.5,group,2026,22,246
filtered,102,-1.0,adaptive,500,0.5,group,2026,23,273
filtered,102,-1.0,adaptive,500,0.5,group,2026,24,205
filtered,102,-1.0,adaptive,500,0.5,group,2026,25,213
filtered,102,-1.0,adaptive,500,0.5,group,2026,26,143
filtered,102,-1.0,adaptive,500,0.5,group,2026,27,234
filtered,102,-1.0,adaptive,500,0.5,group,2026,28,172
filtered,102,-1.0,adaptive,500,0.5,group,2026,29,94
filtered,102,-1.0,adaptive,500,0.5,group,2026,30,214
filtered,102,-1.0,adaptive,500,0.5,group,2026,31,207
filtered,102,-1.0,adaptive,500,0.5,group,2026,32,206
