pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
filtered,102,-1.0,adaptive,500,0.5,group,2026,1,0.9413769213512547,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,2,0.8924237699394298,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,3,0.8507750905069891,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,4,0.8147712586473747,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,5,0.783290843109043,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,6,0.7558013555148486,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,7,0.7315868907284412,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,8,0.7097609127411021,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,9,0.6904128898919631,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,10,0.6729859064294822,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,11,0.6572703964695953,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,12,0.6424546801408504,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,13,0.6288550232852423,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,14,0.616358584795307,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,15,0.6045916618092062,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,16,0.5937089700706251,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,17,0.583728854326321,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,18,0.5740156661865156,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,19,0.5650109845280717,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,20,0.5563089916958364,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,21,0.5479791297632158,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,22,0.5399991828044957,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,23,0.5323309750631272,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,24,0.5250198143970182,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,25,0.5180605599649065,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,26,0.5114284395282772,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,27,0.5050361417710283,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,28,0.4988721552948355,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,29,0.49307325387107825,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,30,0.4874573173317868,500
filtered,102,-1.0,adaptive,500,0.5,group,2026,31,0.48211035722384277,498
filtered,102,-1.0,adaptive,500,0.5,group,2026,32,0.4769601196249698,491
filtered,102,-1.0,adaptive,500,0.5,group,2026,33,0.4734048063694267,441
filtered,102,-1.0,adaptive,500,0.5,group,2026,34,0.472092610064446,329
filtered,102,-1.0,adaptive,500,0.5,group,2026,35,0.4722932597132773,220
filtered,102,-1.0,adaptive,500,0.5,group,2026,36,0.4728718679847319,152
filtered,102,-1.0,adaptive,500,0.5,group,2026,37,0.4732089251874665,111
filtered,102,-1.0,adaptive,500,0.5,group,2026,38,0.47510937837742223,78
filtered,102,-1.0,adaptive,500,0.5,group,2026,39,0.4753172853998845,63
filtered,102,-1.0,adaptive,500,0.5,group,2026,40,0.4743518520238987,55
filtered,102,-1.0,adaptive,500,0.5,group,2026,41,0.4748947919841078,45
filtered,102,-1.0,adaptive,500,0.5,group,2026,42,0.4757929178532974,38
filtered,102,-1.0,adaptive,500,0.5,group,2026,43,0.4760402514845675,32
