pool,pool_size,theta,arm,draws,tau,fit_slope,seed,median_items,iqr_lo,iqr_hi,mean_items,censor_rate,mean_abs_err,coverage_at_stop,max_exposure_share
full,204,-1.0,adaptive,500,0.5,group,2026,60.0,56.0,67.0,62.82,0.028,0.42746592536007666,0.932,0.0065265838904807385
full,204,-1.0,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,1.0,0.47308432632659697,0.92,0.005392156862745098
full,204,0.0,adaptive,500,0.5,group,2026,67.0,59.0,84.0,72.322,0.158,0.44979691016383777,0.916,0.006305135366831669
full,204,0.0,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,0.998,0.4632357584392066,0.948,0.005450980392156863
full,204,0.5,adaptive,500,0.5,group,2026,102.0,69.0,102.0,86.644,0.516,0.4240173599803737,0.928,0.006486311804625825
full,204,0.5,random,500,0.5,group,2026,102.0,102.0,102.0,102.0,1.0,0.5096325758229892,0.944,0.005431372549019608
full,40,-1.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.58764753218321,0.946,0.025
full,40,-1.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.5879091605089732,0.95,0.025
full,40,0.0,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.5873586407872903,0.958,0.025
full,40,0.0,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.5895725752264095,0.956,0.025
full,40,0.5,adaptive,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6450311591106492,0.95,0.025
full,40,0.5,random,500,0.5,group,2026,40.0,40.0,40.0,40.0,1.0,0.6242339355816052,0.95,0.025
