pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,adaptive,500,0.5,group,2026,1,0.9368890691168273,500
full,204,-1.0,adaptive,500,0.5,group,2026,2,0.8848767120659846,500
full,204,-1.0,adaptive,500,0.5,group,2026,3,0.8414582386225838,500
full,204,-1.0,adaptive,500,0.5,group,2026,4,0.8044959455387982,500
full,204,-1.0,adaptive,500,0.5,group,2026,5,0.7736354518147018,500
full,204,-1.0,adaptive,500,0.5,group,2026,6,0.7473182840211315,500
full,204,-1.0,adaptive,500,0.5,group,2026,7,0.7249984299556581,500
full,204,-1.0,adaptive,500,0.5,group,2026,8,0.7065225253396589,500
full,204,-1.0,adaptive,500,0.5,group,2026,9,0.690912191054542,500
full,204,-1.0,adaptive,500,0.5,group,2026,10,0.6780309026688929,500
full,204,-1.0,adaptive,500,0.5,group,2026,11,0.6671063301937227,500
full,204,-1.0,adaptive,500,0.5,group,2026,12,0.6575778696056203,500
full,204,-1.0,adaptive,500,0.5,group,2026,13,0.6490361282054948,500
full,204,-1.0,adaptive,500,0.5,group,2026,14,0.6412127724844936,500
full,204,-1.0,adaptive,500,0.5,group,2026,15,0.6340667067585182,500
full,204,-1.0,adaptive,500,0.5,group,2026,16,0.6275129889180855,500
full,204,-1.0,adaptive,500,0.5,group,2026,17,0.621229892659676,500
full,204,-1.0,adaptive,500,0.5,group,2026,18,0.615236440213448,500
full,204,-1.0,adaptive,500,0.5,group,2026,19,0.6092706040550269,500
full,204,-1.0,adaptive,500,0.5,group,2026,20,0.6033622983920204,500
full,204,-1.0,adaptive,500,0.5,group,2026,21,0.5977115854129912,500
full,204,-1.0,adaptive,500,0.5,group,2026,22,0.5922558470071801,500
full,204,-1.0,adaptive,500,0.5,group,2026,23,0.5869098115076743,500
full,204,-1.0,adaptive,500,0.5,group,2026,24,0.5817913432672144,500
full,204,-1.0,adaptive,500,0.5,group,2026,25,0.576778577098555,500
full,204,-1.0,adaptive,500,0.5,group,2026,26,0.5720165733310678,500
full,204,-1.0,adaptive,500,0.5,group,2026,27,0.5673357056461393,500
full,204,-1.0,adaptive,500,0.5,group,2026,28,0.56297997943021,500
full,204,-1.0,adaptive,500,0.5,group,2026,29,0.5586564487340101,500
full,204,-1.0,adaptive,500,0.5,group,2026,30,0.5545464378700492,500
full,204,-1.0,adaptive,500,0.5,group,2026,31,0.5504877268598897,500
full,204,-1.0,adaptive,500,0.5,group,2026,32,0.5465066606310778,500
full,204,-1.0,adaptive,500,0.5,group,2026,33,0.5426022463043471,500
full,204,-1.0,adaptive,500,0.5,group,2026,34,0.5387786650798417,500
full,204,-1.0,adaptive,500,0.5,group,2026,35,0.5350966530058398,500
full,204,-1.0,adaptive,500,0.5,group,2026,36,0.5315179041704492,500
full,204,-1.0,adaptive,500,0.5,group,2026,37,0.5279037646707515,500
full,204,-1.0,adaptive,500,0.5,group,2026,38,0.5244932219199786,500
full,204,-1.0,adaptive,500,0.5,group,2026,39,0.5211711539027452,500
full,204,-1.0,adaptive,500,0.5,group,2026,40,0.5177949302149418,500
full,204,-1.0,adaptive,500,0.5,group,2026,41,0.5145189680387905,500
full,204,-1.0,adaptive,500,0.5,group,2026,42,0.5115408630547468,499
full,204,-1.0,adaptive,500,0.5,group,2026,43,0.5085504243926985,499
full,204,-1.0,adaptive,500,0.5,group,2026,44,0.505652607615314,498
full,204,-1.0,adaptive,500,0.5,group,2026,45,0.5027488754738869,497
full,204,-1.0,adaptive,500,0.5,group,2026,46,0.49999133025025205,496
full,204,-1.0,adaptive,500,0.5,group,2026,47,0.4972175586324763,494
full,204,-1.0,adaptive,500,0.5,group,2026,48,0.49493857315462947,487
full,204,-1.0,adaptive,500,0.5,group,2026,49,0.4927399306136652,478
full,204,-1.0,adaptive,500,0.5,group,2026,50,0.4904488171208378,472
full,204,-1.0,adaptive,500,0.5,group,2026,51,0.4883891063729415,464
full,204,-1.0,adaptive,500,0.5,group,2026,52,0.48619710461313886,458
full,204,-1.0,adaptive,500,0.5,group,2026,53,0.4845254828143789,443
full,204,-1.0,adaptive,500,0.5,group,2026,54,0.48272128168193856,429
full,204,-1.0,adaptive,500,0.5,group,2026,55,0.4814315063332855,406
full,204,-1.0,adaptive,500,0.5,group,2026,56,0.48048336186188967,379
full,204,-1.0,adaptive,500,0.5,group,2026,57,0.47939806808840685,353
full,204,-1.0,adaptive,500,0.5,group,2026,58,0.4785453482464394,327
full,204,-1.0,adaptive,500,0.5,group,2026,59,0.4777860225219877,302
full,204,-1.0,adaptive,500,0.5,group,2026,60,0.47705117422420534,278
full,204,-1.0,adaptive,500,0.5,group,2026,61,0.476947791474408,245
full,204,-1.0,adaptive,500,0.5,group,2026,62,0.47645494935418664,223
full,204,-1.0,adaptive,500,0.5,group,2026,63,0.4761585733201268,200
full,204,-1.0,adaptive,500,0.5,group,2026,64,0.4760240235397594,176
full,204,-1.0,adaptive,500,0.5,group,2026,65,0.4757440991562982,159
full,204,-1.0,adaptive,500,0.5,group,2026,66,0.47537061612128817,144
full,204,-1.0,adaptive,500,0.5,group,2026,67,0.47521917355384885,129
full,204,-1.0,adaptive,500,0.5,group,2026,68,0.4750524675968109,116
full,204,-1.0,adaptive,500,0.5,group,2026,69,0.47440739412338795,107
full,204,-1.0,adaptive,500,0.5,group,2026,70,0.4744272107853321,95
full,204,-1.0,adaptive,500,0.5,group,2026,71,0.4749062267454712,82
full,204,-1.0,adaptive,500,0.5,group,2026,72,0.47462489273631986,76
full,204,-1.0,adaptive,500,0.5,group,2026,73,0.47454068396029586,69
full,204,-1.0,adaptive,500,0.5,group,2026,74,0.47445034802536157,62
full,204,-1.0,adaptive,500,0.5,group,2026,75,0.47452200654791266,55
full,204,-1.0,adaptive,500,0.5,group,2026,76,0.4752644233287784,48
