chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
1,grammar+omission,10%,10%,0.6112581549193654,0.31334717598501255,0.8723404635138627,0.3938442138474141,-0.18058527073209585,0.707575370670374,44
1,grammar+omission,10%,20%,0.8097333889116402,0.31334717598501255,0.8723404635138625,0.3938442138474141,0.01788996326017922,0.699325490515447,44
1,grammar+omission,20%,10%,0.80973338891164,0.46797837000127196,0.8723404635138627,0.3938442138474141,-0.13674123075608058,0.6901515474993913,44
1,grammar+omission,20%,20%,0.8723404635138625,0.46797837000127196,0.8723404635138625,0.3938442138474141,-0.07413415615385788,0.6878680071069389,44
1,mistranslation+addition,10%,bad_10%,-0.15701714166480712,0.14422258827761822,0.3133471759850125,0.00927142681689243,-0.6053154791105454,0.8558060527708651,32
1,mistranslation+addition,10%,bad_20%,0.024225979230665023,0.14422258827761822,0.6112581549193654,0.00927142681689243,-0.7219833371494262,0.8283328980031457,32
1,mistranslation+omission,10%,10%,0.5651621919150589,0.14422258827761822,0.8723404635138627,0.009271426816892452,-0.4421294330595297,0.7673272436835178,33
1,mistranslation+omission,10%,20%,0.8976093336120413,0.14422258827761822,0.8723404635138625,0.009271426816892452,-0.10968229136254704,0.7655222015112866,30
1,mistranslation+addition,20%,bad_10%,0.21362713642942593,0.31334717598501255,0.3133471759850125,0.00927142681689243,-0.4037957887237067,0.8196580792359157,31
1,mistranslation+addition,20%,bad_20%,0.3017202230381536,0.31334717598501255,0.6112581549193654,0.00927142681689243,-0.613613681049332,0.8104967320591062,28
1,mistranslation+omission,20%,10%,0.6024989348937023,0.31334717598501255,0.8723404635138627,0.009271426816892452,-0.5739172777882806,0.7443720502307464,36
1,mistranslation+omission,20%,20%,0.05320743748010617,0.31334717598501255,0.8723404635138625,0.009271426816892452,-1.1232087752018765,0.834030452582901,26
2,grammar+omission,10%,10%,0.16338125888759972,0.9298514137364635,0.16338125888759966,0.1915190524723662,-0.7383323612640973,0.9986795953848634,24
2,grammar+omission,10%,20%,0.5800831660362339,0.9298514137364635,-0.6231904630686788,0.1915190524723662,0.46494126784081535,1.0703045872856731,24
2,grammar+omission,20%,10%,0.31249287962077854,0.9298514137364635,0.16338125888759966,0.1915190524723662,-0.5892207405309184,0.9863836893145803,24
2,grammar+omission,20%,20%,0.3124928796207786,0.9298514137364635,-0.6231904630686788,0.1915190524723662,0.19735098142536,1.0866987445145437,24
2,mistranslation+addition,10%,bad_10%,1.6479470878835085,0.9298514137364636,0.9298514137364635,0.00939605041222928,-0.20235968917718938,0.9408959612042428,16
2,mistranslation+addition,10%,bad_20%,1.179694987825084,0.9298514137364636,1.1407103904813949,0.00939605041222928,-0.8814707659805453,0.9497299994418276,16
2,mistranslation+omission,10%,10%,1.1263735174242226,0.9298514137364636,0.16338125888759966,0.00939605041222928,0.0425368952123886,1.027907729764962,14
2,mistranslation+omission,10%,20%,1.920832421742138,0.9298514137364636,-0.6231904630686788,0.00939605041222928,1.6235675214865823,1.0779453757242101,17
2,mistranslation+addition,20%,bad_10%,1.6742334136568555,1.5309527947440427,0.9298514137364635,0.00939605041222928,-0.7771747444114214,0.8830974943017886,22
2,mistranslation+addition,20%,bad_20%,0.8819977111134711,1.5309527947440427,1.1407103904813949,0.00939605041222928,-1.7802694236997372,0.9101591586541956,21
2,mistranslation+omission,20%,10%,1.2142259528012846,1.5309527947440427,0.16338125888759966,0.00939605041222928,-0.47071205041812847,0.9404003578388017,23
2,mistranslation+omission,20%,20%,1.3366159156715094,1.5309527947440427,-0.6231904630686788,0.00939605041222928,0.4382496344083747,1.0504577075449582,21
3,grammar+omission,10%,10%,-1.2536605169610455,0.04717379830710891,-2.2422428359469535,-1.0701990097750391,-0.1287904890962399,2.3533881051657266,14
3,grammar+omission,10%,20%,-0.6813433582999915,0.04717379830710891,-0.6813433582999915,-1.0701990097750391,-1.1173728080821481,1.779842764337229,14
3,grammar+omission,20%,10%,-2.2422428359469535,-0.6813433582999915,-2.2422428359469535,-1.0701990097750391,-0.38885565147504764,2.703499474456852,14
3,grammar+omission,20%,20%,-0.2741669508977545,-0.6813433582999915,-0.6813433582999915,-1.0701990097750391,0.018320755927189403,1.8158683164130653,14
3,mistranslation+addition,10%,bad_10%,-0.011526726573981067,-0.6813433582999915,0.04717379830710891,-0.6813433582999915,-0.05870052488108993,1.6590011206701243,11
3,mistranslation+addition,10%,bad_20%,0.31674206115792736,-0.6813433582999915,-0.6813433582999915,-0.6813433582999915,0.9980854194579188,1.68807022665343,14
3,mistranslation+omission,10%,10%,-2.121626431127503,-0.6813433582999915,-2.2422428359469535,-1.0701990097750391,-0.2682392466555972,2.720477521546728,14
3,mistranslation+omission,10%,20%,-0.5423412066134627,-0.6813433582999915,-0.6813433582999915,-1.0701990097750391,-0.2498534997885189,1.874870786251397,14
3,mistranslation+addition,20%,bad_10%,0.6734632958673799,0.04717379830710891,0.04717379830710891,-0.6813433582999915,-0.10222765904682946,1.4377889634322862,14
3,mistranslation+addition,20%,bad_20%,1.0803475201241717,0.04717379830710891,-0.6813433582999915,-0.6813433582999915,1.0331737218170627,1.552058015217778,12
3,mistranslation+omission,20%,10%,0.1611849235722672,0.04717379830710891,-2.2422428359469535,-1.0701990097750391,1.2860549514370727,2.204512469092611,11
