chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
1,grammar+omission,10%,10%,0.8781124403895282,0.8781124403895287,0.8781124403895287,0.5357176956071469,-0.3423947447823823,1.0567684232200862,22
1,grammar+omission,10%,20%,0.8781124403895282,0.8781124403895287,0.8781124403895282,0.5357176956071469,-0.34239474478238174,1.0567684232200862,22
1,mistranslation+addition,10%,bad_10%,2.2263463633271092,-0.5886508116119293,0.08900273955577578,-0.16223646365689268,2.56375797172637,1.3936782527909237,22
1,mistranslation+addition,10%,bad_20%,-99.0,-0.5886508116119293,0.08900273955577578,-0.16223646365689268,-98.66258839160075,3.279570156376377,22
1,mistranslation+omission,10%,10%,-89.99999999999999,-0.5886508116119293,0.8781124403895287,0.19866861729805846,-90.09079301147953,3.236137606539027,22
1,mistranslation+omission,10%,20%,-99.0,-0.5886508116119293,0.8781124403895282,0.19866861729805846,-99.09079301147955,3.236137606539027,22
1,mistranslation+addition,20%,bad_10%,2.2263463633271092,0.5357176956071469,0.08900273955577578,-0.16223646365689268,1.439389464507294,1.1958541569664967,22
1,mistranslation+addition,20%,bad_20%,-99.0,0.5357176956071469,0.08900273955577578,-0.16223646365689268,-99.78695689881982,3.200516911848188,22
1,mistranslation+omission,20%,10%,-81.00000000000001,0.5357176956071469,0.8781124403895287,0.19866861729805846,-82.21516151869864,3.1559966256141387,22
1,mistranslation+omission,20%,20%,-81.00000000000001,0.5357176956071469,0.8781124403895282,0.19866861729805846,-82.21516151869864,3.1559966256141387,22
2,grammar+omission,10%,10%,0.053817984144696754,0.053817984144696754,-1.6947397857692734,0.053817984144696754,1.7485577699139703,2.420406448409384,12
2,grammar+omission,10%,20%,0.053817984144696754,0.053817984144696754,-1.6947397857692734,0.053817984144696754,1.7485577699139703,2.420406448409384,12
2,mistranslation+addition,10%,bad_10%,-45.00000000000001,0.053817984144696754,0.053817984144696754,0.053817984144696754,-45.0538179841447,3.3879390010537973,12
2,mistranslation+addition,10%,bad_20%,-54.0,0.053817984144696754,0.053817984144696754,0.053817984144696754,-54.05381798414469,3.3879390010537973,12
2,mistranslation+omission,10%,10%,-53.99999999999999,0.053817984144696754,-1.6947397857692734,0.053817984144696754,-52.30526021423072,3.7238575570981727,12
2,mistranslation+omission,10%,20%,-53.99999999999999,0.053817984144696754,-1.6947397857692734,0.053817984144696754,-52.30526021423072,3.7238575570981727,12
2,mistranslation+addition,20%,bad_10%,2.0963539333926606,0.053817984144696754,0.053817984144696754,0.053817984144696754,2.042535949247964,1.6806528866364843,12
2,mistranslation+addition,20%,bad_20%,-53.99999999999999,0.053817984144696754,0.053817984144696754,0.053817984144696754,-54.053817984144686,3.3879390010537973,12
2,mistranslation+omission,20%,10%,-45.00000000000001,0.053817984144696754,-1.6947397857692734,0.053817984144696754,-43.305260214230735,3.7238575570981727,12
2,mistranslation+omission,20%,20%,-53.99999999999999,0.053817984144696754,-1.6947397857692734,0.053817984144696754,-52.30526021423072,3.7238575570981727,12
3,grammar+omission,10%,10%,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,0.0,3.6963102386761877,7
3,grammar+omission,10%,20%,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,0.0,3.6963102386761877,7
3,mistranslation+addition,10%,bad_10%,0.637828537721526,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,1.9795619538982725,3.2978855289531483,7
3,mistranslation+addition,10%,bad_20%,1.5063737596140532,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,2.8481071757907994,3.2351502779372656,7
3,mistranslation+omission,10%,10%,1.5063737596140532,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,2.8481071757907994,3.2351502779372656,7
3,mistranslation+omission,10%,20%,1.5063737596140532,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,2.8481071757907994,3.2351502779372656,7
3,mistranslation+addition,20%,bad_10%,0.637828537721526,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,1.9795619538982725,3.2978855289531483,7
3,mistranslation+addition,20%,bad_20%,1.5063737596140534,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,2.8481071757908,3.2351502779372656,7
3,mistranslation+omission,20%,10%,0.637828537721526,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,1.9795619538982725,3.2978855289531483,7
3,mistranslation+omission,20%,20%,1.5063737596140532,-1.3417334161767465,-1.3417334161767465,-1.3417334161767465,2.8481071757907994,3.2351502779372656,7
4,grammar+omission,10%,10%,0.13241631891289926,1.255526571315919,0.36279882021349047,1.1660501443811326,-0.3198589282353775,1.1440364381041601,18
4,grammar+omission,10%,20%,2.2789700385970195,1.255526571315919,0.7109729051014541,1.1660501443811326,1.4785207065607793,0.956930642173537,18
4,mistranslation+addition,10%,bad_10%,1.8062629879694543,0.36279882021349047,1.4856018188449633,1.0788787670493887,1.036741115960389,0.9979382311557694,18
4,mistranslation+addition,10%,bad_20%,1.5529220144439424,0.36279882021349047,1.0013563420552656,1.0788787670493887,1.2676456192245749,1.0304683540966453,18
4,mistranslation+omission,10%,10%,1.5529220144439424,0.36279882021349047,0.36279882021349047,0.55527985284402,1.3826042268609817,1.1017874533199659,18
4,mistranslation+omission,10%,20%,2.04620831654954,0.36279882021349047,0.7109729051014541,0.55527985284402,1.527716444078615,1.0547503150277726,18
4,mistranslation+addition,20%,bad_10%,-54.0,1.901594189076467,1.4856018188449633,1.0788787670493887,-56.30831724087204,3.0918943546279216,18
4,mistranslation+addition,20%,bad_20%,-45.000000000000014,1.901594189076467,1.0013563420552656,1.0788787670493887,-46.82407176408236,3.0997919336454904,18
4,mistranslation+omission,20%,10%,-54.0,1.901594189076467,0.36279882021349047,0.55527985284402,-55.70911315644594,3.1242247991129406,18
4,mistranslation+omission,20%,20%,-45.000000000000014,1.901594189076467,0.7109729051014541,0.55527985284402,-47.05728724133392,3.112310711688826,18
5,grammar+omission,10%,10%,1.0680592519773202,-1.9794999021987012,-1.9794999021987012,-0.7351352475524627,4.2919238088222595,2.7033856566489973,11
5,grammar+omission,10%,20%,1.878823352842169,-1.9794999021987012,-0.3495660839557233,-0.7351352475524627,3.4727540914441306,2.2594963928234364,11
5,mistranslation+addition,10%,bad_10%,1.4952277427395746,-1.9794999021987012,-1.9794999021987012,-0.7351352475524627,4.719092299584514,2.6917336551742364,11
5,mistranslation+addition,10%,bad_20%,1.878823352842169,-1.9794999021987012,-1.9794999021987012,-0.7351352475524627,5.102687909687109,2.6865914088405147,11
5,mistranslation+omission,10%,10%,1.878823352842169,-1.9794999021987012,-1.9794999021987012,-0.3495660839557233,5.488257073283848,2.6396814293978017,11
