chapter,pair,dA,dB,delta_AB,delta_A,delta_B,delta_0,interaction,se,n_items
1,grammar+omission,10%,10%,0.4158423403294389,-0.11416495820100386,0.8489876999267986,0.29899506596431014,-0.019985335432045725,0.9308325841084594,22
1,grammar+omission,10%,20%,0.7462732620780063,-0.11416495820100386,0.8489876999267986,0.29899506596431014,0.31044558631652175,0.9166976322278269,22
1,mistranslation+addition,10%,bad_10%,1.6122651569993074,0.41584234032943895,0.415842340329439,0.08252768320439151,0.863108159544821,0.8948837540200021,22
1,mistranslation+addition,10%,bad_20%,1.7061924521631624,0.41584234032943895,0.8489876999267987,0.08252768320439151,0.5238900951113163,0.8776143056181175,22
1,mistranslation+omission,10%,10%,1.9948022262975007,0.41584234032943895,0.8489876999267986,-0.08669012283208043,0.6432820632091828,0.8883931411905137,22
1,mistranslation+omission,10%,20%,2.1973046944433015,0.41584234032943895,0.8489876999267986,-0.08669012283208043,0.8457845313549835,0.8944451227107579,22
1,mistranslation+addition,20%,bad_10%,1.9948022262975007,0.16820422460739734,0.415842340329439,0.08252768320439151,1.493283344565056,0.9160059945834869,22
1,mistranslation+addition,20%,bad_20%,2.1973046944433015,0.16820422460739734,0.8489876999267987,0.08252768320439151,1.262640453113497,0.9043649695459967,22
1,mistranslation+omission,20%,10%,1.8970536544578027,0.16820422460739734,0.8489876999267986,-0.08669012283208043,0.7931716070915263,0.9018914372390786,22
1,mistranslation+omission,20%,20%,2.197304694443302,0.16820422460739734,0.8489876999267986,-0.08669012283208043,1.0934226470770256,0.9099582730367657,22
2,grammar+omission,10%,10%,0.2062529993262561,1.3032116499421742,0.609402908202693,0.25254611956805595,-1.4538154392505551,1.1711695934736885,12
2,grammar+omission,10%,20%,0.791976992384282,1.3032116499421742,-0.28903928311644445,0.25254611956805595,0.03035074512660818,1.2181003721254682,12
2,mistranslation+addition,10%,bad_10%,2.8218885944861087,1.3032116499421742,1.3032116499421742,-0.009244129331487327,0.2062211652702728,1.19385582491827,12
2,mistranslation+addition,10%,bad_20%,2.8218885944861087,1.3032116499421742,1.6364946943697858,-0.009244129331487327,-0.1270618791573388,1.1959475653485685,12
2,mistranslation+omission,10%,10%,2.8218885944861087,1.3032116499421742,0.609402908202693,-0.009244129331487327,0.9000299070097539,1.211682707740934,12
2,mistranslation+omission,10%,20%,3.0999206052488253,1.3032116499421742,-0.28903928311644445,-0.009244129331487327,2.076504109091608,1.324617676518685,12
2,mistranslation+addition,20%,bad_10%,3.8776534430112846,2.366198663606251,1.3032116499421742,-0.009244129331487327,0.19899900013137217,1.4241469163672777,12
2,mistranslation+addition,20%,bad_20%,2.8218885944861087,2.366198663606251,1.6364946943697858,-0.009244129331487327,-1.1900488928214157,1.2283501506791543,12
2,mistranslation+omission,20%,10%,3.0999206052488253,2.366198663606251,0.609402908202693,-0.009244129331487327,0.1150749041083936,1.280244668513125,12
2,mistranslation+omission,20%,20%,3.4371440575570946,2.366198663606251,-0.28903928311644445,-0.009244129331487327,1.3507405477358008,1.408668940129599,12
3,grammar+omission,10%,10%,-0.9830002293189821,0.46068692730025446,-2.043622623695912,-0.7878514449131355,-0.18791597783646008,2.4538880289759084,7
3,grammar+omission,10%,20%,-0.3619890662120415,0.46068692730025446,-0.3619890662120415,-0.7878514449131355,-1.24853837221339,1.87542295612802,7
3,mistranslation+addition,10%,bad_10%,1.6398854123645434,-0.3619890662120415,0.46068692730025446,-0.3619890662120415,1.179198485064289,1.670286775992053,7
3,mistranslation+addition,10%,bad_20%,1.3617130966937823,-0.3619890662120415,-0.3619890662120415,-0.3619890662120415,1.7237021629058238,1.7708116435888421,7
3,mistranslation+omission,10%,10%,0.46068692730025446,-0.3619890662120415,-2.043622623695912,-0.7878514449131355,2.078447172295072,2.3510141129405087,7
3,mistranslation+omission,10%,20%,1.0796177033900807,-0.3619890662120415,-0.3619890662120415,-0.7878514449131355,1.0157443909010282,1.8459770270131286,7
3,mistranslation+addition,20%,bad_10%,1.0796177033900807,0.46068692730025446,0.46068692730025446,-0.3619890662120415,-0.20374521742246976,1.567919699813469,7
3,mistranslation+addition,20%,bad_20%,2.2234561804138564,0.46068692730025446,-0.3619890662120415,-0.3619890662120415,1.7627692531136019,1.690008072228686,7
3,mistranslation+omission,20%,10%,1.923546962849963,0.46068692730025446,-2.043622623695912,-0.7878514449131355,2.718631214332485,2.2528556598381475,7
3,mistranslation+omission,20%,20%,1.0796177033900807,0.46068692730025446,-0.3619890662120415,-0.7878514449131355,0.19306839738873222,1.7493598767979053,7
4,grammar+omission,10%,10%,0.6722812797996671,0.25505163764232586,0.007564840814359783,-0.7940508654360932,-0.38438606409311166,0.9795301231361863,18
4,grammar+omission,10%,20%,2.0917033354891714,0.25505163764232586,0.007564840814359725,-0.7940508654360932,1.0350359915963927,0.985357271635085,18
4,mistranslation+addition,10%,bad_10%,0.7944078264846455,0.007564840814359725,-0.6102988779670199,0.16691448254952634,1.564056346186832,1.0017777236670118,18
4,mistranslation+addition,10%,bad_20%,1.0303900397979617,0.007564840814359725,-0.2741831865148823,0.16691448254952634,1.4639228680480105,0.9617723395919742,18
4,mistranslation+omission,10%,10%,1.8415887698260212,0.007564840814359725,0.007564840814359783,0.0237112771235452,1.8501703653208468,0.958105421832556,18
4,mistranslation+omission,10%,20%,2.3636561802216263,0.007564840814359725,0.007564840814359725,0.0237112771235452,2.3722377757164517,0.9810148221672575,18
4,mistranslation+addition,20%,bad_10%,2.84449259406158,1.2680916670650533,-0.6102988779670199,0.16691448254952634,2.3536142875130732,1.0259725339758123,18
4,mistranslation+addition,20%,bad_20%,2.2242628260277653,1.2680916670650533,-0.2741831865148823,0.16691448254952634,1.3972688280271206,0.9433830617433175,18
4,mistranslation+omission,20%,10%,1.7218946899593957,1.2680916670650533,0.007564840814359783,0.0237112771235452,0.4699494592035279,0.9153589424687943,18
4,mistranslation+omission,20%,20%,3.51333304201224,1.2680916670650533,0.007564840814359725,0.0237112771235452,2.2613878112563723,1.0790495939635394,18
5,grammar+omission,10%,10%,1.3697701214778795,0.5359941809487447,-1.393507584668838,-0.21174672223780974,2.0155368029601632,1.3872000257734467,11
5,grammar+omission,10%,20%,2.7726962336669634,0.5359941809487447,-0.21549996230721083,-0.21174672223780974,2.2404552927876193,1.3175777414172798,11
5,mistranslation+addition,10%,bad_10%,1.5656696085537107,-0.703569221799039,-0.7035692217990389,-0.21549996230721072,2.757308089844578,1.3165414666063193,11
5,mistranslation+addition,10%,bad_20%,1.9852350127066938,-0.703569221799039,-0.7035692217990389,-0.21549996230721072,3.176873493997561,1.3346730629514612,11
5,mistranslation+omission,10%,10%,2.2182691088857163,-0.703569221799039,-1.393507584668838,-0.6061900570731823,3.709155858280411,1.5141690378259531,11
5,mistranslation+omission,10%,20%,2.4765298041452493,-0.703569221799039,-0.21549996230721083,-0.6061900570731823,2.7894089311783166,1.381558447890936,11
5,mistranslation+addition,20%,bad_10%,1.3697701214778795,-0.21549996230721083,-0.7035692217990389,-0.21549996230721072,2.0733393432769187,1.2628431922608312,11
5,mistranslation+addition,20%,bad_20%,1.1786499072103291,-0.21549996230721083,-0.7035692217990389,-0.21549996230721072,1.8822191290093682,1.2601682440017372,11
5,mistranslation+omission,20%,10%,1.5656696085537107,-0.21549996230721083,-1.393507584668838,-0.6061900570731823,2.5684870984565773,1.4412561062310247,11
5,mistranslation+omission,20%,20%,1.9852350127066938,-0.21549996230721083,-0.21549996230721083,-0.6061900570731823,1.8100448802479332,1.2962631706763763,11
6,grammar+omission,10%,10%,1.323948786198692,-0.8212928951038169,-2.3799553021297486,-0.038681277159797696,4.48651570627246,2.134742906806495,8
6,grammar+omission,10%,20%,1.323948786198692,-0.8212928951038169,-0.8212928951038169,-0.038681277159797696,2.9278532992465283,1.6709482864250313,8
