model,kind,method,chapter,acc_mcq,acc_open,gap,n_mcq,n_open,gap_z
llama 1b,method,google_word_by_word,1,0.36363636363636365,0.45454545454545453,-0.09090909090909088,22,22,-0.48280730653944964
llama 1b,method,google_word_by_word,2,0.4166666666666667,0.25,0.16666666666666669,12,12,0.6008071017715588
llama 1b,method,google_word_by_word,3,0.2857142857142857,0.2857142857142857,0.0,7,7,-0.10035516242968205
llama 1b,method,google_word_by_word,4,0.22727272727272727,0.2727272727272727,-0.04545454545454544,22,22,-0.29158123448456585
llama 1b,method,google_word_by_word,5,0.07692307692307693,0.38461538461538464,-0.3076923076923077,13,13,-1.394808573262742
llama 1b,method,google_word_by_word,6,0.25,0.25,0.0,8,8,-0.10035516242968205
llama 1b,method,google_word_by_word,7,0.2222222222222222,0.1111111111111111,0.1111111111111111,9,9,0.3670863470378118
llama 1b,method,helsinki,1,0.3181818181818182,0.5909090909090909,-0.27272727272727276,22,22,-1.2477115947589852
llama 1b,method,helsinki,2,0.08333333333333333,0.25,-0.16666666666666669,12,12,-0.8015174266309228
llama 1b,method,helsinki,3,0.2857142857142857,0.2857142857142857,0.0,7,7,-0.10035516242968205
llama 1b,method,helsinki,4,0.36363636363636365,0.22727272727272727,0.13636363636363638,22,22,0.4733230537349696
llama 1b,method,helsinki,5,0.15384615384615385,0.38461538461538464,-0.23076923076923078,13,13,-1.071195220554477
llama 1b,method,helsinki,6,0.375,0.25,0.125,8,8,0.42551653572124853
llama 1b,method,helsinki,7,0.1111111111111111,0.2222222222222222,-0.1111111111111111,9,9,-0.5677966718971759
llama 1b,method,llm_prompt_high,1,0.6818181818181818,0.5454545454545454,0.13636363636363635,22,22,0.47332305373496947
llama 1b,method,llm_prompt_high,2,0.8333333333333334,0.4166666666666667,0.4166666666666667,12,12,1.65255049807342
llama 1b,method,llm_prompt_high,3,0.7142857142857143,0.2857142857142857,0.4285714285714286,7,7,1.7026335169449374
llama 1b,method,llm_prompt_high,4,0.6818181818181818,0.5454545454545454,0.13636363636363635,22,22,0.47332305373496947
llama 1b,method,llm_prompt_high,5,0.6923076923076923,0.38461538461538464,0.30769230769230765,13,13,1.1940982484033777
llama 1b,method,llm_prompt_high,6,0.75,0.375,0.375,8,8,1.4772599320231097
llama 1b,method,llm_prompt_high,7,0.6666666666666666,0.1111111111111111,0.5555555555555556,9,9,2.2368523849077873
llama 1b,method,llm_prompt_high,8,0.7777777777777778,0.3333333333333333,0.4444444444444445,9,9,1.7694108754402935
llama 1b,method,llm_prompt_low,1,0.36363636363636365,0.5,-0.13636363636363635,22,22,-0.6740333785943335
llama 1b,method,llm_prompt_low,2,0.3333333333333333,0.4166666666666667,-0.08333333333333337,12,12,-0.4509362945303026
llama 1b,method,llm_prompt_low,3,0.5714285714285714,0.14285714285714285,0.42857142857142855,7,7,1.7026335169449371
llama 1b,method,llm_prompt_low,4,0.2727272727272727,0.22727272727272727,0.04545454545454544,22,22,0.09087090962520174
llama 1b,method,llm_prompt_low,5,0.07692307692307693,0.38461538461538464,-0.3076923076923077,13,13,-1.394808573262742
llama 1b,method,llm_prompt_low,6,0.375,0.375,0.0,8,8,-0.10035516242968205
llama 1b,method,llm_prompt_low,7,0.0,0.3333333333333333,-0.3333333333333333,9,9,-1.5026796908321636
llama 1b,method,llm_prompt_medium,1,0.36363636363636365,0.5454545454545454,-0.18181818181818177,22,22,-0.8652594506492172
llama 1b,method,llm_prompt_medium,2,0.3333333333333333,0.4166666666666667,-0.08333333333333337,12,12,-0.4509362945303026
llama 1b,method,llm_prompt_medium,3,0.42857142857142855,0.42857142857142855,0.0,7,7,-0.10035516242968205
llama 1b,method,llm_prompt_medium,4,0.45454545454545453,0.36363636363636365,0.09090909090909088,22,22,0.28209698168008557
llama 1b,method,llm_prompt_medium,5,0.15384615384615385,0.5384615384615384,-0.3846153846153846,13,13,-1.7184219259710067
llama 1b,method,llm_prompt_medium,6,0.375,0.375,0.0,8,8,-0.10035516242968205
llama 1b,method,mBART-50,1,0.36363636363636365,0.4090909090909091,-0.04545454545454547,22,22,-0.29158123448456597
llama 1b,method,mBART-50,2,0.3333333333333333,0.5833333333333334,-0.25000000000000006,12,12,-1.1520985587315433
llama 1b,method,mBART-50,3,0.2857142857142857,0.5714285714285714,-0.2857142857142857,7,7,-1.3023476153460947
llama 1b,method,mBART-50,4,0.36363636363636365,0.45454545454545453,-0.09090909090909088,22,22,-0.48280730653944964
llama 1b,method,mBART-50,5,0.15384615384615385,0.15384615384615385,0.0,13,13,-0.10035516242968205
llama 1b,method,mBART-50,6,0.375,0.375,0.0,8,8,-0.10035516242968205
llama 1b,method,mBART-50,7,0.2222222222222222,0.1111111111111111,0.1111111111111111,9,9,0.3670863470378118
llama 1b,method,nllb-200-1.3B,1,0.7272727272727273,0.45454545454545453,0.27272727272727276,22,22,1.0470012698996212
llama 1b,method,nllb-200-1.3B,2,0.5833333333333334,0.3333333333333333,0.25000000000000006,12,12,0.9513882338721794
llama 1b,method,nllb-200-1.3B,3,0.5714285714285714,0.7142857142857143,-0.1428571428571429,7,7,-0.7013513888878886
llama 1b,method,nllb-200-1.3B,4,0.7272727272727273,0.5454545454545454,0.18181818181818188,22,22,0.6645491257898537
llama 1b,method,nllb-200-1.3B,5,0.5384615384615384,0.6153846153846154,-0.07692307692307698,13,13,-0.4239685151379473
llama 1b,method,nllb-200-1.3B,6,0.75,0.5,0.25,8,8,0.9513882338721792
llama 1b,method,nllb-200-1.3B,7,0.4444444444444444,0.3333333333333333,0.1111111111111111,9,9,0.3670863470378118
llama 1b,method,nllb-200-1.3B,8,0.4444444444444444,0.6666666666666666,-0.2222222222222222,9,9,-1.0352381813646696
llama 1b,method,nllb-200-distilled-600M,1,0.2727272727272727,0.6363636363636364,-0.36363636363636365,22,22,-1.6301637388687529
llama 1b,method,nllb-200-distilled-600M,2,0.4166666666666667,0.25,0.16666666666666669,12,12,0.6008071017715588
llama 1b,method,nllb-200-distilled-600M,3,0.42857142857142855,0.14285714285714285,0.2857142857142857,7,7,1.1016372904867306
llama 1b,method,nllb-200-distilled-600M,4,0.36363636363636365,0.45454545454545453,-0.09090909090909088,22,22,-0.48280730653944964
llama 1b,method,nllb-200-distilled-600M,5,0.07692307692307693,0.3076923076923077,-0.23076923076923078,13,13,-1.071195220554477
llama 1b,method,nllb-200-distilled-600M,6,0.5,0.25,0.25,8,8,0.9513882338721792
llama 1b,method,nllb-200-distilled-600M,7,0.2222222222222222,0.4444444444444444,-0.2222222222222222,9,9,-1.0352381813646696
1.5b,method,google_word_by_word,1,0.9090909090909091,0.5909090909090909,0.3181818181818181,22,22,1.0098944615009837
1.5b,method,google_word_by_word,2,0.75,0.4166666666666667,0.3333333333333333,12,12,1.0744792431035994
1.5b,method,google_word_by_word,3,1.0,0.5714285714285714,0.4285714285714286,7,7,1.480440727462897
1.5b,method,google_word_by_word,4,0.8636363636363636,0.5909090909090909,0.2727272727272727,22,22,0.8161401166931375
1.5b,method,google_word_by_word,5,0.8461538461538461,0.5384615384615384,0.3076923076923077,13,13,0.9651819203914811
1.5b,method,google_word_by_word,6,1.0,0.5,0.5,8,8,1.7849118407323699
1.5b,method,google_word_by_word,7,0.3333333333333333,0.1111111111111111,0.2222222222222222,9,9,0.6008575113510859
1.5b,method,google_word_by_word,8,0.4444444444444444,0.6666666666666666,-0.2222222222222222,9,9,-1.2936294156589683
1.5b,method,helsinki,1,1.0,0.6818181818181818,0.31818181818181823,22,22,1.0098944615009842
1.5b,method,helsinki,2,0.8333333333333334,0.6666666666666666,0.16666666666666674,12,12,0.36404664547482946
1.5b,method,helsinki,3,0.8571428571428571,0.7142857142857143,0.1428571428571428,7,7,0.2625562743850045
1.5b,method,helsinki,4,0.9090909090909091,0.5454545454545454,0.36363636363636365,22,22,1.2036488063088306
1.5b,method,helsinki,5,0.7692307692307693,0.7692307692307693,0.0,13,13,-0.34638595215394125
1.5b,method,helsinki,6,1.0,0.875,0.125,8,8,0.18643849606763654
1.5b,method,helsinki,7,0.3333333333333333,0.8888888888888888,-0.5555555555555556,9,9,-2.714494610916509
1.5b,method,helsinki,8,0.4444444444444444,0.5555555555555556,-0.11111111111111116,9,9,-0.8200076839064551
1.5b,method,llm_prompt_high,1,0.9090909090909091,0.9090909090909091,0.0,22,22,-0.34638595215394125
1.5b,method,llm_prompt_high,2,0.8333333333333334,0.5833333333333334,0.25,12,12,0.7192629442892143
1.5b,method,llm_prompt_high,3,1.0,0.7142857142857143,0.2857142857142857,7,7,0.8714985009239508
1.5b,method,llm_prompt_high,4,0.8636363636363636,0.6363636363636364,0.2272727272727273,22,22,0.6223857718852912
1.5b,method,llm_prompt_high,5,0.9230769230769231,0.7692307692307693,0.15384615384615385,13,13,0.3093979841187699
1.5b,method,llm_prompt_high,6,1.0,0.875,0.125,8,8,0.18643849606763654
1.5b,method,llm_prompt_high,7,0.4444444444444444,0.8888888888888888,-0.4444444444444444,9,9,-2.2408728791639954
1.5b,method,llm_prompt_high,8,0.4444444444444444,0.5555555555555556,-0.11111111111111116,9,9,-0.8200076839064551
1.5b,method,llm_prompt_low,1,1.0,0.9545454545454546,0.045454545454545414,22,22,-0.15263160734609496
1.5b,method,llm_prompt_low,2,0.8333333333333334,0.5833333333333334,0.25,12,12,0.7192629442892143
1.5b,method,llm_prompt_low,3,1.0,0.8571428571428571,0.1428571428571429,7,7,0.262556274385005
1.5b,method,llm_prompt_low,4,0.9090909090909091,0.7272727272727273,0.18181818181818177,22,22,0.4286314270774444
1.5b,method,llm_prompt_low,5,0.9230769230769231,0.8461538461538461,0.07692307692307698,13,13,-0.018493984017585438
1.5b,method,llm_prompt_low,6,0.875,0.625,0.25,8,8,0.7192629442892143
1.5b,method,llm_prompt_low,7,0.3333333333333333,1.0,-0.6666666666666667,9,9,-3.1881163426690233
1.5b,method,llm_prompt_low,8,0.5555555555555556,0.6666666666666666,-0.11111111111111105,9,9,-0.8200076839064546
1.5b,method,llm_prompt_medium,1,0.9090909090909091,0.6818181818181818,0.2272727272727273,22,22,0.6223857718852912
1.5b,method,llm_prompt_medium,2,0.8333333333333334,0.5833333333333334,0.25,12,12,0.7192629442892143
1.5b,method,llm_prompt_medium,3,1.0,0.8571428571428571,0.1428571428571429,7,7,0.262556274385005
1.5b,method,llm_prompt_medium,4,0.8636363636363636,0.6818181818181818,0.18181818181818188,22,22,0.4286314270774449
1.5b,method,llm_prompt_medium,5,0.6153846153846154,0.6923076923076923,-0.07692307692307687,13,13,-0.6742779202902967
1.5b,method,llm_prompt_medium,6,1.0,0.75,0.25,8,8,0.7192629442892143
1.5b,method,llm_prompt_medium,7,0.5555555555555556,0.7777777777777778,-0.2222222222222222,9,9,-1.2936294156589683
1.5b,method,llm_prompt_medium,8,0.7777777777777778,0.4444444444444444,0.33333333333333337,9,9,1.0744792431035997
1.5b,method,mBART-50,1,0.7727272727272727,0.45454545454545453,0.3181818181818182,22,22,1.009894461500984
1.5b,method,mBART-50,2,0.5833333333333334,0.6666666666666666,-0.08333333333333326,12,12,-0.7016022509683262
1.5b,method,mBART-50,3,1.0,0.5714285714285714,0.4285714285714286,7,7,1.480440727462897
1.5b,method,mBART-50,4,0.7727272727272727,0.5454545454545454,0.2272727272727273,22,22,0.6223857718852912
1.5b,method,mBART-50,5,0.6923076923076923,0.6923076923076923,0.0,13,13,-0.34638595215394125
1.5b,method,mBART-50,6,0.875,0.75,0.125,8,8,0.18643849606763654
1.5b,method,mBART-50,7,0.3333333333333333,0.5555555555555556,-0.22222222222222227,9,9,-1.2936294156589687
1.5b,method,mBART-50,8,0.6666666666666666,0.4444444444444444,0.2222222222222222,9,9,0.6008575113510859
1.5b,method,nllb-200-1.3B,1,0.8181818181818182,0.5909090909090909,0.2272727272727273,22,22,0.6223857718852912
1.5b,method,nllb-200-1.3B,2,0.75,0.5,0.25,12,12,0.7192629442892143
1.5b,method,nllb-200-1.3B,3,1.0,0.7142857142857143,0.2857142857142857,7,7,0.8714985009239508
1.5b,method,nllb-200-1.3B,4,0.7727272727272727,0.45454545454545453,0.3181818181818182,22,22,1.009894461500984
1.5b,method,nllb-200-1.3B,5,0.8461538461538461,0.7692307692307693,0.07692307692307687,13,13,-0.018493984017585913
1.5b,method,nllb-200-1.3B,6,1.0,0.75,0.25,8,8,0.7192629442892143
1.5b,method,nllb-200-1.3B,7,0.2222222222222222,0.6666666666666666,-0.4444444444444444,9,9,-2.2408728791639954
1.5b,method,nllb-200-1.3B,8,0.5555555555555556,0.5555555555555556,0.0,9,9,-0.34638595215394125
1.5b,method,nllb-200-distilled-600M,1,0.8181818181818182,0.7272727272727273,0.09090909090909094,22,22,0.04112273746175181
1.5b,method,nllb-200-distilled-600M,2,0.6666666666666666,0.6666666666666666,0.0,12,12,-0.34638595215394125
1.5b,method,nllb-200-distilled-600M,3,0.8571428571428571,0.8571428571428571,0.0,7,7,-0.34638595215394125
1.5b,method,nllb-200-distilled-600M,4,0.8181818181818182,0.7727272727272727,0.045454545454545525,22,22,-0.1526316073460945
1.5b,method,nllb-200-distilled-600M,5,0.8461538461538461,0.7692307692307693,0.07692307692307687,13,13,-0.018493984017585913
1.5b,method,nllb-200-distilled-600M,6,1.0,0.5,0.5,8,8,1.7849118407323699
1.5b,method,nllb-200-distilled-600M,7,0.3333333333333333,0.5555555555555556,-0.22222222222222227,9,9,-1.2936294156589687
1.5b,method,nllb-200-distilled-600M,8,0.5555555555555556,0.6666666666666666,-0.11111111111111105,9,9,-0.8200076839064546
1.7b,method,google_word_by_word,1,0.9090909090909091,0.6818181818181818,0.2272727272727273,22,22,0.17671094852630248
1.7b,method,google_word_by_word,2,0.8333333333333334,0.4166666666666667,0.4166666666666667,12,12,1.5390969679468185
1.7b,method,google_word_by_word,3,1.0,0.5714285714285714,0.4285714285714286,7,7,1.624732660596108
1.7b,method,google_word_by_word,4,0.6818181818181818,0.5909090909090909,0.09090909090909083,22,22,-0.8042069854564697
1.7b,method,google_word_by_word,5,0.7692307692307693,0.46153846153846156,0.3076923076923077,13,13,0.7552010121571677
1.7b,method,google_word_by_word,6,1.0,0.75,0.25,8,8,0.34019727085676427
1.7b,method,google_word_by_word,7,1.0,0.2222222222222222,0.7777777777777778,9,9,4.136712978308602
1.7b,method,google_word_by_word,8,0.8888888888888888,0.3333333333333333,0.5555555555555556,9,9,2.538180048855197
1.7b,method,helsinki,1,0.9090909090909091,0.7727272727272727,0.13636363636363635,22,22,-0.47723434079554544
1.7b,method,helsinki,2,0.8333333333333334,0.6666666666666666,0.16666666666666674,12,12,-0.25925257768826226
1.7b,method,helsinki,3,0.8571428571428571,0.42857142857142855,0.42857142857142855,7,7,1.6247326605961079
1.7b,method,helsinki,5,0.9230769230769231,0.6153846153846154,0.3076923076923077,13,13,0.7552010121571677
1.7b,method,helsinki,6,1.0,1.0,0.0,8,8,-1.4581522747783169
1.7b,method,helsinki,7,1.0,0.5555555555555556,0.4444444444444444,9,9,1.738913584128494
1.7b,method,helsinki,8,0.5555555555555556,0.4444444444444444,0.11111111111111116,9,9,-0.6588858100516138
1.7b,method,llm_prompt_high,1,0.9545454545454546,0.9090909090909091,0.045454545454545525,22,22,-1.1311796301173926
1.7b,method,llm_prompt_high,2,0.9166666666666666,0.6666666666666666,0.25,12,12,0.34019727085676427
