chapter,method,source_words,mqm_penalty_per_1000,mqm_quality_0_1,accuracy_omission_count_rate,accuracy_omission_penalty_rate,accuracy_mistranslation_count_rate,accuracy_mistranslation_penalty_rate,accuracy_addition_count_rate,accuracy_addition_penalty_rate,fluency_grammar_count_rate,fluency_grammar_penalty_rate,terminology_count_rate,terminology_penalty_rate,untranslated_non_translation_count_rate,untranslated_non_translation_penalty_rate,other_count_rate,other_penalty_rate,B_count,B_penalty,B_count_untr0,B_penalty_untr0
1,google_word_by_word,1721.0,78.44276583381756,0.01258767855706146,1.1621,5.8106,2.3242,11.6212,0.0,0.0,18.0128,57.5247,1.1621,3.4863,0.0,0.0,0.0,0.0,3.8916,15.47,3.8916,15.47
1,helsinki,1571.0,69.38255887969447,0.014208065405938265,4.4558,14.6404,8.9115,42.0115,0.0,0.0,4.4558,4.4558,5.0923,7.6384,0.0,0.0,0.6365,0.6365,6.5208,27.3128,6.5208,27.3128
1,llm_prompt_high,1721.0,37.768739105171406,0.02579397790800498,3.4863,12.7833,6.3916,24.9855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7269,18.1071,4.7269,18.1071
1,llm_prompt_low,1721.0,27.890761185357352,0.034613141328613664,1.7432,8.7159,4.6485,16.2696,0.0,0.0,1.7432,1.7432,1.1621,1.1621,0.0,0.0,0.0,0.0,3.2085,12.0811,3.2085,12.0811
1,llm_prompt_medium,1721.0,29.633933759442183,0.03264353862787125,2.3242,11.6212,5.8106,17.4317,0.0,0.0,0.5811,0.5811,0.0,0.0,0.0,0.0,0.0,0.0,4.0014,13.8938,4.0014,13.8938
1,mBART-50,1571.0,57.28835136855506,0.017156086533946336,7.0019,19.7327,8.275,28.6442,0.0,0.0,3.8192,3.8192,1.9096,1.9096,0.6365,3.1827,0.0,0.0,7.8089,24.7011,7.5295,23.3045
1,nllb-200-1.3B,1571.0,30.553787396562697,0.031691916644812496,0.6365,3.1827,6.3654,21.6423,0.0,0.0,5.0923,5.0923,0.6365,0.6365,0.0,0.0,0.0,0.0,4.0623,12.8211,4.0623,12.8211
1,nllb-200-distilled-600M,1571.0,47.10375556970082,0.020788397665771265,6.3654,21.6423,8.275,15.9134,0.0,0.0,7.0019,9.5481,0.0,0.0,0.0,0.0,0.0,0.0,7.8364,18.6895,7.8364,18.6895
2,google_word_by_word,1218.0,92.77504105090311,0.010663818312350068,0.0,0.0,2.4631,12.3153,0.0,0.0,11.4943,54.1872,1.642,1.642,0.0,0.0,4.9261,24.6305,2.5654,13.0057,2.5654,13.0057
2,helsinki,1109.0,127.14156898106401,0.0078038688612262425,3.6069,28.8548,18.0343,93.7782,0.0,0.0,4.5086,4.5086,0.0,0.0,0.0,0.0,0.0,0.0,11.1855,60.1514,11.1855,60.1514
2,llm_prompt_high,1173.0,28.132992327365727,0.03432534457027478,1.705,25.5754,1.705,1.705,0.8525,0.8525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7355,12.2101,1.7355,12.2101
2,llm_prompt_low,1173.0,16.19778346121057,0.05814702820601795,5.9676,9.3777,1.705,1.705,0.0,0.0,5.1151,5.1151,0.0,0.0,0.0,0.0,0.0,0.0,4.1319,5.6283,4.1319,5.6283
2,llm_prompt_medium,1173.0,17.902813299232736,0.052902178324989856,2.5575,9.3777,0.8525,4.2626,0.8525,4.2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6832,6.9194,1.6832,6.9194
2,mBART-50,1109.0,73.03877366997295,0.013506436566028084,6.312,31.56,5.4103,23.4445,0.0,0.0,1.8034,5.4103,4.5086,8.1154,0.9017,4.5086,0.0,0.0,5.6908,27.5081,5.2952,25.5297
2,nllb-200-1.3B,1109.0,55.906221821460775,0.01757277092015402,2.7051,13.5257,10.8206,32.4617,0.0,0.0,4.5086,8.1154,1.8034,1.8034,0.0,0.0,0.0,0.0,7.0161,23.0548,7.0161,23.0548
2,nllb-200-distilled-600M,1109.0,45.08566275924257,0.02169872233853137,4.5086,11.7223,4.5086,22.5428,0.0,0.0,5.4103,9.0171,1.8034,1.8034,0.0,0.0,0.0,0.0,4.7667,17.4185,4.7667,17.4185
3,google_word_by_word,913.0,75.5750273822563,0.013059087723313262,0.0,0.0,4.3812,17.5246,0.0,0.0,13.1435,56.9551,1.0953,1.0953,0.0,0.0,0.0,0.0,3.788,16.019,3.788,16.019
3,helsinki,878.0,89.9772209567198,0.01099176243771752,4.5558,36.4465,10.2506,51.2528,0.0,0.0,1.139,1.139,1.139,1.139,0.0,0.0,0.0,0.0,7.169,41.6722,7.169,41.6722
3,llm_prompt_high,913.0,16.42935377875137,0.057374473700747816,4.3812,4.3812,2.1906,10.9529,0.0,0.0,0.0,0.0,1.0953,1.0953,0.0,0.0,0.0,0.0,2.9177,7.3006,2.9177,7.3006
