model,method,chapter,delta,se,n,acc
llama 1b,google_word_by_word,1,0.884023940733371,0.3216707031358541,44,0.4090909090909091
llama 1b,google_word_by_word,2,1.2200655561022635,0.45220592256725345,24,0.3333333333333333
llama 1b,google_word_by_word,3,1.5043426791733603,0.6030045022779519,14,0.2857142857142857
llama 1b,google_word_by_word,4,1.5532133897279854,0.3620109358832664,44,0.25
llama 1b,google_word_by_word,5,1.4827495376921518,0.4791216000197298,26,0.23076923076923078
llama 1b,google_word_by_word,6,1.4159380368787227,0.5883907606120229,16,0.25
llama 1b,google_word_by_word,7,2.033273328977673,0.6207416618569341,18,0.16666666666666666
llama 1b,helsinki,1,0.6793991215930373,0.31846380507878147,44,0.45454545454545453
llama 1b,helsinki,2,2.178396132669204,0.54565513523547,24,0.16666666666666666
llama 1b,helsinki,3,1.5043426791733605,0.6030045022779519,14,0.2857142857142857
llama 1b,helsinki,4,1.3029063418840778,0.3463938774614154,44,0.29545454545454547
llama 1b,helsinki,5,1.2629352815817827,0.45948583811878396,26,0.2692307692307692
llama 1b,helsinki,6,1.088442793228027,0.5584275737501253,16,0.3125
llama 1b,helsinki,7,2.033273328977673,0.6207416618569341,18,0.16666666666666666
llama 1b,llm_prompt_high,1,-0.03611683682923154,0.3258174964598813,44,0.6136363636363636
llama 1b,llm_prompt_high,2,-0.12003682270993717,0.44431813405304876,24,0.625
llama 1b,llm_prompt_high,3,0.5178279306381026,0.5603428992033517,14,0.5
llama 1b,llm_prompt_high,4,-0.19440784394118674,0.32840106265223606,44,0.6136363636363636
llama 1b,llm_prompt_high,5,-0.026415094303981444,0.4198189346049299,26,0.5384615384615384
llama 1b,llm_prompt_high,6,-0.060636402477002534,0.5333226324899935,16,0.5625
llama 1b,llm_prompt_high,7,0.8413124776725578,0.5022917851054695,18,0.3888888888888889
llama 1b,llm_prompt_high,8,-0.29963798760651394,0.49947125007318555,18,0.5555555555555556
llama 1b,llm_prompt_low,1,0.7811994444047418,0.31975912373902377,44,0.4318181818181818
llama 1b,llm_prompt_low,2,1.0200407649707839,0.44283847688182715,24,0.375
llama 1b,llm_prompt_low,3,1.1575092578511423,0.5772159396316752,14,0.35714285714285715
llama 1b,llm_prompt_low,4,1.5532133897279854,0.3620109358832664,44,0.25
llama 1b,llm_prompt_low,5,1.4827495376921518,0.4791216000197298,26,0.23076923076923078
llama 1b,llm_prompt_low,6,0.7874597317101406,0.540410698057176,16,0.375
llama 1b,llm_prompt_low,7,2.033273328977673,0.6207416618569341,18,0.16666666666666666
llama 1b,llm_prompt_medium,1,0.6793991215930373,0.31846380507878147,44,0.45454545454545453
llama 1b,llm_prompt_medium,2,1.0200407649707839,0.44283847688182715,24,0.375
llama 1b,llm_prompt_medium,3,0.8329636229061624,0.5639100104957786,14,0.42857142857142855
llama 1b,llm_prompt_medium,4,0.7443776543925786,0.32539696579011695,44,0.4090909090909091
llama 1b,llm_prompt_medium,5,0.8657178911643912,0.4342884389879584,26,0.34615384615384615
llama 1b,llm_prompt_medium,6,0.7874597317101406,0.540410698057176,16,0.375
llama 1b,mBART-50,1,0.988287489671765,0.3242383615097254,44,0.38636363636363635
llama 1b,mBART-50,2,0.6379350676723334,0.43315135316918973,24,0.4583333333333333
llama 1b,mBART-50,3,0.8329636229061624,0.5639100104957786,14,0.42857142857142855
llama 1b,mBART-50,4,0.7443776543925787,0.32539696579011695,44,0.4090909090909091
llama 1b,mBART-50,5,1.9989110201887732,0.5434399999698616,26,0.15384615384615385
llama 1b,mBART-50,6,0.7874597317101406,0.540410698057176,16,0.375
llama 1b,mBART-50,7,2.033273328977673,0.6207416618569341,18,0.16666666666666666
llama 1b,nllb-200-1.3B,1,0.0690623480613085,0.32292205963339043,44,0.5909090909090909
llama 1b,nllb-200-1.3B,2,0.6379350676723334,0.43315135316918973,24,0.4583333333333333
llama 1b,nllb-200-1.3B,3,-0.12643468802770483,0.5814851587388873,14,0.6428571428571429
llama 1b,nllb-200-1.3B,4,-0.3033483996524306,0.3318432295227962,44,0.6363636363636364
llama 1b,nllb-200-1.3B,5,-0.20399340166650812,0.4233361754388566,26,0.5769230769230769
llama 1b,nllb-200-1.3B,6,-0.3505624681810637,0.5448073110784108,16,0.625
llama 1b,nllb-200-1.3B,7,0.8413124776725579,0.5022917851054695,18,0.3888888888888889
llama 1b,nllb-200-1.3B,8,-0.299637987606514,0.49947125007318555,18,0.5555555555555556
llama 1b,nllb-200-distilled-600M,1,0.6793991215930373,0.31846380507878147,44,0.45454545454545453
llama 1b,nllb-200-distilled-600M,2,1.2200655561022633,0.45220592256725334,24,0.3333333333333333
llama 1b,nllb-200-distilled-600M,3,1.5043426791733603,0.6030045022779519,14,0.2857142857142857
llama 1b,nllb-200-distilled-600M,4,0.7443776543925786,0.32539696579011695,44,0.4090909090909091
llama 1b,nllb-200-distilled-600M,5,1.72467737504125,0.505906923897127,26,0.19230769230769232
llama 1b,nllb-200-distilled-600M,6,0.7874597317101407,0.540410698057176,16,0.375
llama 1b,nllb-200-distilled-600M,7,1.0998184776105466,0.5156852627737708,18,0.3333333333333333
1.5b,google_word_by_word,1,0.325645863594064,0.3537900025918206,44,0.75
1.5b,google_word_by_word,2,1.0874035186784294,0.421157900078786,24,0.5833333333333334
1.5b,google_word_by_word,3,0.16526943341253236,0.6519040279850202,14,0.7857142857142857
1.5b,google_word_by_word,4,0.28549172537193407,0.34675697976708336,44,0.7272727272727273
1.5b,google_word_by_word,5,0.2681513363369897,0.4353008961656524,26,0.6923076923076923
1.5b,google_word_by_word,6,0.047243599720944565,0.5827947216086159,16,0.75
1.5b,google_word_by_word,7,2.565093028176681,0.5511865250941862,18,0.2222222222222222
1.5b,google_word_by_word,8,0.6946401034580187,0.4820989775941306,18,0.5555555555555556
1.5b,helsinki,1,-0.2539254431394136,0.4146049062427492,44,0.8409090909090909
1.5b,helsinki,2,0.30176046406736146,0.47658649940172737,24,0.75
1.5b,helsinki,3,0.1652694334125328,0.6519040279850201,14,0.7857142857142857
1.5b,helsinki,4,0.28549172537193396,0.34675697976708336,44,0.7272727272727273
1.5b,helsinki,5,-0.1409137185792827,0.47257913753177005,26,0.7692307692307693
1.5b,helsinki,6,-1.4554090476989932,0.9261388262079273,16,0.9375
1.5b,helsinki,7,0.8644547947169028,0.48887155321090064,18,0.6111111111111112
1.5b,helsinki,8,0.9252195016847065,0.4791594191204909,18,0.5
1.5b,llm_prompt_high,1,-0.8873338114003005,0.5168760175244944,44,0.9090909090909091
1.5b,llm_prompt_high,2,0.5184611010014478,0.45545205864292637,24,0.7083333333333334
1.5b,llm_prompt_high,3,-0.3186454928646919,0.7481101178376809,14,0.8571428571428571
1.5b,llm_prompt_high,4,0.16213137683724613,0.35594382998440893,44,0.75
1.5b,llm_prompt_high,5,-0.6488045139092403,0.5423042840516896,26,0.8461538461538461
1.5b,llm_prompt_high,6,-1.4554090476989932,0.9261388262079273,16,0.9375
1.5b,llm_prompt_high,7,0.6180923371384115,0.5050250137031885,18,0.6666666666666666
1.5b,llm_prompt_high,8,0.9252195016847065,0.4791594191204909,18,0.5
1.5b,llm_prompt_low,1,-2.169677250572903,0.8745224087728808,44,0.9772727272727273
1.5b,llm_prompt_low,2,0.5184611010014478,0.45545205864292637,24,0.7083333333333334
1.5b,llm_prompt_low,3,-1.0176891688297793,0.9487554140841777,14,0.9285714285714286
1.5b,llm_prompt_low,4,-0.25819156942552424,0.39611933827172985,44,0.8181818181818182
1.5b,llm_prompt_low,5,-0.9743259602597948,0.60253752206707,26,0.8846153846153846
1.5b,llm_prompt_low,6,0.047243599720944524,0.5827947216086159,16,0.75
1.5b,llm_prompt_low,7,0.6180923371384114,0.5050250137031885,18,0.6666666666666666
1.5b,llm_prompt_low,8,0.4585643086460386,0.4906340267120408,18,0.6111111111111112
1.5b,llm_prompt_medium,1,0.05865047292585475,0.37831548197639037,44,0.7954545454545454
1.5b,llm_prompt_medium,2,0.5184611010014478,0.45545205864292637,24,0.7083333333333334
1.5b,llm_prompt_medium,3,-1.0176891688297793,0.9487554140841777,14,0.9285714285714286
1.5b,llm_prompt_medium,4,0.03161080915238843,0.366909717860696,44,0.7727272727272727
1.5b,llm_prompt_medium,5,0.45227180460963057,0.4234544854279257,26,0.6538461538461539
1.5b,llm_prompt_medium,6,-0.7866038149259637,0.7325846023997835,16,0.875
