model,method,chapter,delta,se,n,acc
llama 1b,google_word_by_word,1,1.6104933728971693,0.4426942760995139,22,0.36363636363636365
llama 1b,google_word_by_word,2,1.4258557074264766,0.5806748352970349,12,0.4166666666666667
llama 1b,google_word_by_word,3,1.978627724579826,0.7923785970774906,7,0.2857142857142857
llama 1b,google_word_by_word,4,2.1684313442463683,0.5027031383968027,22,0.22727272727272727
llama 1b,google_word_by_word,5,3.0317441010984174,0.8809835374552111,13,0.07692307692307693
llama 1b,google_word_by_word,6,1.8659663769383896,0.7764005617789647,8,0.25
llama 1b,google_word_by_word,7,2.1088743383348203,0.753597528132576,9,0.2222222222222222
llama 1b,helsinki,1,1.811647459441618,0.455083165195526,22,0.3181818181818182
llama 1b,helsinki,2,3.234657611111258,0.8751685724434577,12,0.08333333333333333
llama 1b,helsinki,3,1.9786277245798263,0.7923785970774906,7,0.2857142857142857
llama 1b,helsinki,4,1.5032588080682947,0.44824206084173085,22,0.36363636363636365
llama 1b,helsinki,5,2.405695913625971,0.719994116039594,13,0.15384615384615385
llama 1b,helsinki,6,1.315520108458224,0.7164654590929644,8,0.375
llama 1b,helsinki,7,2.7813307559491607,0.9063489407154094,9,0.1111111111111111
llama 1b,llm_prompt_high,1,0.27346676147488214,0.4604514531939774,22,0.6818181818181818
llama 1b,llm_prompt_high,2,-0.4944071728417919,0.7516331367058184,12,0.8333333333333334
llama 1b,llm_prompt_high,3,0.220317389201794,0.8230686206924428,7,0.7142857142857143
llama 1b,llm_prompt_high,4,0.12643794659434723,0.46729346409827854,22,0.6818181818181818
llama 1b,llm_prompt_high,5,-0.06415632027669921,0.600759622591845,13,0.6923076923076923
llama 1b,llm_prompt_high,6,-0.25474419636523626,0.7950654647696987,8,0.75
llama 1b,llm_prompt_high,7,0.2460540129283065,0.6992803340237439,9,0.6666666666666666
llama 1b,llm_prompt_high,8,-0.6631234762247961,0.7766452270041174,9,0.7777777777777778
llama 1b,llm_prompt_low,1,1.610493372897169,0.44269427609951384,22,0.36363636363636365
llama 1b,llm_prompt_low,2,1.773102558993426,0.6006974433271408,12,0.3333333333333333
llama 1b,llm_prompt_low,3,0.8348722072773235,0.7562190385912275,7,0.5714285714285714
llama 1b,llm_prompt_low,4,1.9287675800389958,0.47776676513599314,22,0.2727272727272727
llama 1b,llm_prompt_low,5,3.0317441010984174,0.8809835374552111,13,0.07692307692307693
llama 1b,llm_prompt_low,6,1.3155201084582242,0.7164654590929646,8,0.375
llama 1b,llm_prompt_low,7,3.981405734507016,1.3734911831074545,9,0.0
llama 1b,llm_prompt_medium,1,1.610493372897169,0.44269427609951384,22,0.36363636363636365
llama 1b,llm_prompt_medium,2,1.7731025589934257,0.6006974433271407,12,0.3333333333333333
llama 1b,llm_prompt_medium,3,1.3937849471819288,0.7473097746942733,7,0.42857142857142855
llama 1b,llm_prompt_medium,4,1.1140092187970108,0.43649569394193294,22,0.45454545454545453
llama 1b,llm_prompt_medium,5,2.405695913625971,0.719994116039594,13,0.15384615384615385
llama 1b,llm_prompt_medium,6,1.315520108458224,0.7164654590929644,8,0.375
llama 1b,mBART-50,1,1.610493372897169,0.44269427609951384,22,0.36363636363636365
llama 1b,mBART-50,2,1.773102558993426,0.6006974433271408,12,0.3333333333333333
llama 1b,mBART-50,3,1.9786277245798263,0.7923785970774906,7,0.2857142857142857
llama 1b,mBART-50,4,1.5032588080682947,0.44824206084173085,22,0.36363636363636365
llama 1b,mBART-50,5,2.405695913625971,0.719994116039594,13,0.15384615384615385
llama 1b,mBART-50,6,1.315520108458224,0.7164654590929644,8,0.375
llama 1b,mBART-50,7,2.1088743383348203,0.753597528132576,9,0.2222222222222222
llama 1b,nllb-200-1.3B,1,0.052761218283225476,0.4801797830949952,22,0.7272727272727273
llama 1b,nllb-200-1.3B,2,0.7565673402614951,0.5857711863121576,12,0.5833333333333334
llama 1b,nllb-200-1.3B,3,0.8348722072773236,0.7562190385912275,7,0.5714285714285714
llama 1b,nllb-200-1.3B,4,-0.10066548563366025,0.48683427460557777,22,0.7272727272727273
llama 1b,nllb-200-1.3B,5,0.5993713654156286,0.5607834089649264,13,0.5384615384615384
llama 1b,nllb-200-1.3B,6,-0.25474419636523654,0.7950654647696987,8,0.75
llama 1b,nllb-200-1.3B,7,1.1449283101231684,0.6616192446993092,9,0.4444444444444444
llama 1b,nllb-200-1.3B,8,0.7888696758489239,0.6697607511098894,9,0.4444444444444444
llama 1b,nllb-200-distilled-600M,1,2.0265068717058847,0.472963785536879,22,0.2727272727272727
llama 1b,nllb-200-distilled-600M,2,1.4258557074264766,0.5806748352970349,12,0.4166666666666667
llama 1b,nllb-200-distilled-600M,3,1.3937849471819288,0.7473097746942733,7,0.42857142857142855
llama 1b,nllb-200-distilled-600M,4,1.5032588080682947,0.44824206084173085,22,0.36363636363636365
llama 1b,nllb-200-distilled-600M,5,3.0317441010984174,0.8809835374552111,13,0.07692307692307693
llama 1b,nllb-200-distilled-600M,6,0.8172088573619657,0.7015350606714311,8,0.5
llama 1b,nllb-200-distilled-600M,7,2.1088743383348203,0.753597528132576,9,0.2222222222222222
1.5b,google_word_by_word,1,-0.6612497954216814,0.7141343126612503,22,0.9090909090909091
