model,method,chapter,delta,se,n,acc
llama 1b,google_word_by_word,1,0.08092771891998216,0.4331556446347414,22,0.45454545454545453
llama 1b,google_word_by_word,2,0.8747584955884423,0.6508448706075793,12,0.25
llama 1b,google_word_by_word,3,0.7700974309989558,0.8051359287017726,7,0.2857142857142857
llama 1b,google_word_by_word,4,0.7385944527390947,0.4793435097096684,22,0.2727272727272727
llama 1b,google_word_by_word,5,0.010007532118860438,0.5812715455798241,13,0.38461538461538464
llama 1b,google_word_by_word,6,0.691121881203105,0.799183371291403,8,0.25
llama 1b,google_word_by_word,7,1.6733443607250453,0.9412608755600103,9,0.1111111111111111
llama 1b,helsinki,1,-0.48334257792476404,0.4391473414689303,22,0.5909090909090909
llama 1b,helsinki,2,0.8747584955884424,0.6508448706075793,12,0.25
llama 1b,helsinki,3,0.7700974309989558,0.8051359287017726,7,0.2857142857142857
llama 1b,helsinki,4,0.9804796166871684,0.5057189831601018,22,0.22727272727272727
llama 1b,helsinki,5,0.010007532118860511,0.5812715455798241,13,0.38461538461538464
llama 1b,helsinki,6,0.6911218812031051,0.799183371291403,8,0.25
llama 1b,helsinki,7,0.9621069013571609,0.7686885557986192,9,0.2222222222222222
llama 1b,llm_prompt_high,1,-0.2930588633798497,0.4338536063276213,22,0.5454545454545454
llama 1b,llm_prompt_high,2,0.13139362314370176,0.582881708246766,12,0.4166666666666667
llama 1b,llm_prompt_high,3,0.7700974309989558,0.8051359287017726,7,0.2857142857142857
llama 1b,llm_prompt_high,4,-0.45142048816388886,0.43500932211669374,22,0.5454545454545454
llama 1b,llm_prompt_high,5,0.01000753211886048,0.5812715455798241,13,0.38461538461538464
llama 1b,llm_prompt_high,6,0.11186799897822368,0.732677714261497,8,0.375
llama 1b,llm_prompt_high,7,1.6733443607250453,0.9412608755600103,9,0.1111111111111111
llama 1b,llm_prompt_high,8,0.023267127605572438,0.7004212667919293,9,0.3333333333333333
llama 1b,llm_prompt_low,1,-0.10591406531347086,0.43188989772010494,22,0.5
llama 1b,llm_prompt_low,2,0.1313936231437018,0.582881708246766,12,0.4166666666666667
llama 1b,llm_prompt_low,3,1.5318901655181199,0.9652428415469364,7,0.14285714285714285
llama 1b,llm_prompt_low,4,0.9804796166871685,0.5057189831601019,22,0.22727272727272727
llama 1b,llm_prompt_low,5,0.010007532118860532,0.5812715455798241,13,0.38461538461538464
llama 1b,llm_prompt_low,6,0.1118679989782236,0.732677714261497,8,0.375
llama 1b,llm_prompt_low,7,0.43338782999291486,0.6948234753127719,9,0.3333333333333333
