model,method,row_count,mean_score,open_mean,mcq_mean,open_count,mcq_count
llama1b,google_word_by_word,195,0.28205128205128205,0.29411764705882354,0.26881720430107525,102,93
llama1b,helsinki,195,0.30256410256410254,0.3431372549019608,0.25806451612903225,102,93
llama1b,llm_prompt_high,204,0.5686274509803921,0.4215686274509804,0.7156862745098039,102,102
llama1b,llm_prompt_low,195,0.3230769230769231,0.3627450980392157,0.27956989247311825,102,93
llama1b,llm_prompt_medium,177,0.3954802259887006,0.43010752688172044,0.35714285714285715,93,84
llama1b,mBART-50,195,0.3384615384615385,0.3627450980392157,0.3118279569892473,102,93
llama1b,nllb-200-1.3B,204,0.5686274509803921,0.5098039215686274,0.6274509803921569,102,102
llama1b,nllb-200-distilled-600M,195,0.358974358974359,0.4019607843137255,0.3118279569892473,102,93
qwen1.5b,google_word_by_word,204,0.6568627450980392,0.5196078431372549,0.7941176470588235,102,102
qwen1.5b,helsinki,204,0.75,0.6862745098039216,0.8137254901960784,102,102
qwen1.5b,llm_prompt_high,204,0.7843137254901961,0.7450980392156863,0.8235294117647058,102,102
qwen1.5b,llm_prompt_low,204,0.8186274509803921,0.7941176470588235,0.8431372549019608,102,102
qwen1.5b,llm_prompt_medium,204,0.75,0.6764705882352942,0.8235294117647058,102,102
qwen1.5b,mBART-50,204,0.6421568627450981,0.5686274509803921,0.7156862745098039,102,102
qwen1.5b,nllb-200-1.3B,204,0.6764705882352942,0.5980392156862745,0.7549019607843137,102,102
qwen1.5b,nllb-200-distilled-600M,204,0.7303921568627451,0.7058823529411765,0.7549019607843137,102,102
qwen1.7b,google_word_by_word,204,0.6911764705882353,0.5294117647058824,0.8529411764705882,102,102
qwen1.7b,helsinki,160,0.76875,0.6625,0.875,80,80
qwen1.7b,llm_prompt_high,204,0.8480392156862745,0.7745098039215687,0.9215686274509803,102,102
qwen1.7b,llm_prompt_low,204,0.7696078431372549,0.6862745098039216,0.8529411764705882,102,102
qwen1.7b,llm_prompt_medium,204,0.7794117647058824,0.6764705882352942,0.8823529411764706,102,102
qwen1.7b,mBART-50,204,0.7549019607843137,0.6666666666666666,0.8431372549019608,102,102
qwen1.7b,nllb-200-1.3B,204,0.8186274509803921,0.7254901960784313,0.9117647058823529,102,102
qwen1.7b,nllb-200-distilled-600M,180,0.7944444444444444,0.6666666666666666,0.9222222222222223,90,90
