family,model,qtype,theta,n,base_acc0,lambda_plain,se_plain,lambda_floored,se_floored
awkward,1.5b,mcq,0.875,576,0.758,-0.0295,0.0986,-0.0329,0.1097
awkward,1.5b,open,0.439,576,0.747,0.0855,0.0928,0.0873,0.0947
awkward,1.7b,mcq,1.671,612,0.875,-0.0051,0.1226,-0.0053,0.1287
awkward,1.7b,open,0.598,612,0.763,0.1057,0.0911,0.108,0.093
awkward,llama 1b,mcq,0.278,576,0.649,0.0603,0.0862,0.0747,0.1077
awkward,llama 1b,open,-0.966,576,0.445,-0.0047,0.0838,-0.0051,0.0896
grammar,1.5b,mcq,0.875,576,0.757,-0.0966,0.1017,-0.1071,0.112
grammar,1.5b,open,0.439,576,0.734,0.1184,0.0906,0.1211,0.0928
grammar,1.7b,mcq,1.671,612,0.882,0.0755,0.1196,0.0794,0.126
grammar,1.7b,open,0.598,612,0.715,0.0563,0.0879,0.0577,0.09
grammar,llama 1b,mcq,0.278,576,0.65,-0.0091,0.0876,-0.0109,0.1064
grammar,llama 1b,open,-0.966,576,0.413,-0.055,0.0841,-0.0591,0.0903
mistranslation,1.5b,mcq,0.875,576,0.757,0.1375,0.0924,0.1592,0.1071
mistranslation,1.5b,open,0.439,576,0.747,0.3257,0.0884,0.3367,0.0915
mistranslation,1.7b,mcq,1.671,612,0.941,0.4289,0.1294,0.4504,0.1365
mistranslation,1.7b,open,0.598,612,0.743,0.3019,0.0857,0.3114,0.0886
mistranslation,llama 1b,mcq,0.278,576,0.656,0.1571,0.0853,0.203,0.1115
mistranslation,llama 1b,open,-0.966,576,0.442,0.1281,0.0858,0.1389,0.0936
omission,1.5b,mcq,0.875,576,0.8,0.0819,0.1002,0.0893,0.1109
omission,1.5b,open,0.439,576,0.723,0.2416,0.0876,0.2491,0.0906
omission,1.7b,mcq,1.671,612,0.91,0.2488,0.1207,0.2614,0.1276
omission,1.7b,open,0.598,612,0.802,0.306,0.0905,0.3128,0.0927
omission,llama 1b,mcq,0.278,576,0.663,0.0958,0.0863,0.1193,0.108
omission,llama 1b,open,-0.966,576,0.394,0.0577,0.0863,0.0635,0.0948
