family,kind,model,qtype,theta,n,base_acc0,floor,headroom,lambda,wald_se,lambda_floored,boot_lo,boot_hi,boot_se,z,p,sig05
awkward,fluency,1.5b,mcq,0.875,576,0.758,0.25,0.508,-0.0295,0.0986,-0.0329,-0.1353,0.0925,0.0584,-0.51,0.6131,0
awkward,fluency,1.5b,open,0.439,576,0.747,0.05,0.697,0.0855,0.0928,0.0873,-0.0259,0.1985,0.0577,1.48,0.1384,0
awkward,fluency,1.7b,mcq,1.671,612,0.875,0.25,0.625,-0.0051,0.1226,-0.0053,-0.1744,0.1674,0.0854,-0.06,0.9525,0
awkward,fluency,1.7b,open,0.598,612,0.763,0.05,0.713,0.1057,0.0911,0.108,-0.0177,0.2532,0.0676,1.56,0.118,0
awkward,fluency,llama 1b,mcq,0.278,576,0.649,0.25,0.399,0.0603,0.0862,0.0747,-0.0807,0.2099,0.0725,0.83,0.4056,0
awkward,fluency,llama 1b,open,-0.966,576,0.445,0.05,0.395,-0.0047,0.0838,-0.0051,-0.1299,0.1115,0.0617,-0.08,0.9387,0
grammar,fluency,1.5b,mcq,0.875,576,0.757,0.25,0.507,-0.0966,0.1017,-0.1071,-0.2092,0.0042,0.0533,-1.81,0.0697,0
grammar,fluency,1.5b,open,0.439,576,0.734,0.05,0.684,0.1184,0.0906,0.1211,0.0258,0.2147,0.0454,2.61,0.0091,1
grammar,fluency,1.7b,mcq,1.671,612,0.882,0.25,0.632,0.0755,0.1196,0.0794,-0.0171,0.1864,0.0523,1.44,0.1491,0
grammar,fluency,1.7b,open,0.598,612,0.715,0.05,0.665,0.0563,0.0879,0.0577,-0.0771,0.1928,0.0696,0.81,0.4187,0
grammar,fluency,llama 1b,mcq,0.278,576,0.65,0.25,0.4,-0.0091,0.0876,-0.0109,-0.1157,0.0981,0.0548,-0.17,0.8686,0
grammar,fluency,llama 1b,open,-0.966,576,0.413,0.05,0.363,-0.055,0.0841,-0.0591,-0.1674,0.0621,0.0586,-0.94,0.3484,0
mistranslation,adequacy,1.5b,mcq,0.875,576,0.757,0.25,0.507,0.1375,0.0924,0.1592,0.0185,0.2678,0.0633,2.17,0.0298,1
mistranslation,adequacy,1.5b,open,0.439,576,0.747,0.05,0.697,0.3257,0.0884,0.3367,0.1976,0.4634,0.0677,4.81,0.0,1
mistranslation,adequacy,1.7b,mcq,1.671,612,0.941,0.25,0.691,0.4289,0.1294,0.4504,0.212,0.7003,0.1276,3.36,0.0008,1
mistranslation,adequacy,1.7b,open,0.598,612,0.743,0.05,0.693,0.3019,0.0857,0.3114,0.1445,0.469,0.0835,3.62,0.0003,1
mistranslation,adequacy,llama 1b,mcq,0.278,576,0.656,0.25,0.406,0.1571,0.0853,0.203,0.0442,0.2929,0.0647,2.43,0.0151,1
mistranslation,adequacy,llama 1b,open,-0.966,576,0.442,0.05,0.392,0.1281,0.0858,0.1389,-0.003,0.2591,0.0641,2.0,0.0459,1
omission,adequacy,1.5b,mcq,0.875,576,0.8,0.25,0.55,0.0819,0.1002,0.0893,-0.0918,0.2392,0.0826,0.99,0.3215,0
omission,adequacy,1.5b,open,0.439,576,0.723,0.05,0.673,0.2416,0.0876,0.2491,0.1065,0.3847,0.0716,3.38,0.0007,1
omission,adequacy,1.7b,mcq,1.671,612,0.91,0.25,0.66,0.2488,0.1207,0.2614,0.0412,0.4757,0.1119,2.22,0.0262,1
omission,adequacy,1.7b,open,0.598,612,0.802,0.05,0.752,0.306,0.0905,0.3128,0.1438,0.4773,0.0876,3.49,0.0005,1
omission,adequacy,llama 1b,mcq,0.278,576,0.663,0.25,0.413,0.0958,0.0863,0.1193,-0.0388,0.2445,0.0695,1.38,0.1679,0
omission,adequacy,llama 1b,open,-0.966,576,0.394,0.05,0.344,0.0577,0.0863,0.0635,-0.095,0.2106,0.0757,0.76,0.4456,0
