family,kind,dose,agg_delta,ci_lo,ci_hi,se_aggregate,se_single_mean,d1b,d1p5b,d1p7b
omission,adeq,5%,-0.264,-0.365,-0.142,0.056,0.137,-0.387,0.0,-0.406
omission,adeq,10%,-0.148,-0.249,-0.01,0.062,0.107,-0.178,0.042,-0.306
omission,adeq,15%,-0.327,-0.479,-0.093,0.098,0.128,-0.199,-0.221,-0.56
omission,adeq,20%,-0.34,-0.468,-0.175,0.073,0.137,-0.272,-0.158,-0.589
omission,adeq,30%,-0.602,-0.796,-0.355,0.114,0.177,-0.356,-0.493,-0.957
mistranslation,adeq,5%,-0.106,-0.164,-0.049,0.029,0.084,0.01,-0.153,-0.175
mistranslation,adeq,10%,-0.247,-0.46,-0.046,0.108,0.162,-0.146,-0.419,-0.175
mistranslation,adeq,15%,-0.378,-0.526,-0.269,0.065,0.112,-0.031,-0.467,-0.635
mistranslation,adeq,20%,-0.506,-0.72,-0.224,0.129,0.166,-0.324,-0.56,-0.635
mistranslation,adeq,30%,-0.679,-0.891,-0.412,0.126,0.155,-0.376,-0.739,-0.922
grammar,flu,5%,0.017,-0.023,0.086,0.028,0.079,-0.031,0.083,0.0
grammar,flu,10%,-0.067,-0.142,0.021,0.041,0.083,-0.125,0.041,-0.118
grammar,flu,15%,-0.0,-0.096,0.12,0.055,0.129,0.053,-0.053,0.0
grammar,flu,20%,-0.022,-0.124,0.074,0.05,0.109,0.191,-0.027,-0.229
grammar,flu,30%,-0.057,-0.229,0.16,0.1,0.154,-0.01,-0.013,-0.146
awkward,flu,5%,0.014,-0.084,0.112,0.05,0.101,0.042,0.07,-0.069
awkward,flu,10%,-0.098,-0.207,0.057,0.068,0.092,-0.031,0.056,-0.318
awkward,flu,15%,-0.144,-0.222,-0.019,0.053,0.108,-0.063,-0.081,-0.289
awkward,flu,20%,-0.109,-0.291,0.069,0.09,0.138,-0.021,-0.108,-0.198
awkward,flu,30%,-0.102,-0.27,0.035,0.079,0.116,-0.063,-0.014,-0.229
