item_key,id,q_type,chapter,n_obs,n_events_minority,q_spread,y_var,mode,s_i,se_s_i,c_i,b_anchor,converged
luke1:item18:mcq,uw-174328-mcq,mcq,1,24,3,0.4245,0.10938,anchor,3.36634,0.77818,0.63906,-0.63906,1
luke4:item7:open,uw-174380-open,open,4,23,9,1.8575,0.23819,free,2.49473,0.66477,-0.66697,-1.18813,1
luke1:item32:mcq,uw-174336-mcq,mcq,1,24,9,0.4245,0.23438,anchor,2.10337,0.78813,0.63906,-0.63906,1
luke2:item22:mcq,uw-174361-mcq,mcq,2,23,3,0.9702,0.11342,anchor,2.07762,0.73197,0.63906,-0.63906,1
luke1:item31:open,uw-174336-open,open,1,24,6,0.4245,0.1875,anchor,1.96744,0.78119,0.74858,-0.74858,1
luke1:item34:mcq,uw-174339-mcq,mcq,1,24,12,0.4245,0.25,anchor,1.914,0.80186,0.86603,-0.86603,1
luke1:item37:open,uw-174341-open,open,1,24,5,0.4245,0.16493,anchor,1.65565,0.78103,0.53151,-0.53151,1
luke1:item28:mcq,uw-174333-mcq,mcq,1,24,9,0.4245,0.23438,anchor,1.53991,0.82518,1.09587,-1.09587,1
luke1:item19:open,uw-174329-open,open,1,24,12,0.4245,0.25,anchor,1.36642,0.7868,0.96735,-0.96735,1
luke1:item21:open,uw-174330-open,open,1,24,10,0.4245,0.24306,anchor,1.29738,0.79426,1.18813,-1.18813,1
luke2:item3:open,uw-174347-open,open,2,23,5,0.9702,0.17013,anchor,1.22194,0.72406,0.74858,-0.74858,1
luke1:item26:mcq,uw-174332-mcq,mcq,1,24,8,0.4245,0.22222,anchor,1.18501,0.82026,0.86603,-0.86603,1
luke5:item4:mcq,uw-174401-mcq,mcq,5,24,8,2.6314,0.22222,free,1.17318,0.60882,-0.13221,-1.09587,1
luke4:item16:mcq,uw-174387-mcq,mcq,4,23,8,1.8575,0.22684,free,1.13927,0.62288,-0.16908,-1.09587,1
luke8:item3:open,uw-174446,open,8,24,11,2.8244,0.24826,free,1.11633,0.60325,0.17986,-0.31578,1
luke8:item7:open,uw-174452,open,8,24,9,2.8244,0.23438,free,1.09574,0.52915,-0.6322,-0.31578,1
luke6:item3:open,uw-174415-open,open,6,24,9,0.6288,0.23438,anchor,1.02946,0.73675,0.96735,-0.96735,1
luke1:item1:open,uw-174316-open,open,1,24,10,0.4245,0.24306,anchor,1.00353,0.78168,0.101,-0.101,1
luke6:item4:mcq,uw-174415-mcq,mcq,6,24,8,0.6288,0.22222,anchor,0.96292,0.77532,0.86603,-0.86603,1
luke5:item3:open,uw-174401-open,open,5,24,5,2.6314,0.16493,anchor,0.93596,0.55072,0.96735,-0.96735,1
luke3:item12:mcq,uw-174374-mcq,mcq,3,24,4,5.8362,0.13889,anchor,0.9286,0.76344,1.09587,-1.09587,1
luke6:item5:open,uw-174421-open,open,6,24,6,0.6288,0.1875,anchor,0.91033,0.73371,-0.11329,0.11329,1
luke1:item38:mcq,uw-174341-mcq,mcq,1,24,7,0.4245,0.2066,anchor,0.8894,0.82876,0.86603,-0.86603,1
luke4:item25:open,uw-174394-open,open,4,23,9,1.8575,0.23819,free,0.8619,0.55255,-0.54187,-1.18813,1
luke2:item1:open,uw-174346-open,open,2,23,8,0.9702,0.22684,free,0.84327,0.80021,0.86854,-0.96735,1
luke5:item20:mcq,uw-174409-mcq,mcq,5,24,6,2.6314,0.1875,free,0.81773,0.56796,0.24176,-1.09587,1
luke1:item17:open,uw-174328-open,open,1,24,10,0.4245,0.24306,anchor,0.8156,0.80236,1.18813,-1.18813,1
luke3:item8:mcq,uw-174368-mcq,mcq,3,24,5,5.8362,0.16493,anchor,0.80147,0.74857,1.09587,-1.09587,1
