family,chapter,item_id,q_type,s_i,se_i,n_obs
mistranslation,7,uw-174429-open,open,-0.927248,1.369082,9
mistranslation,1,uw-174333-mcq,mcq,-0.872167,0.925662,9
mistranslation,5,uw-174407-open,open,-0.640207,0.752403,9
mistranslation,6,uw-174428-open,open,-0.628517,1.066185,9
mistranslation,8,uw-174448-open,open,-0.628517,1.066185,9
mistranslation,5,uw-174410-open,open,-0.412832,0.836391,9
mistranslation,8,uw-174445-open,open,-0.412832,0.836391,9
mistranslation,8,uw-174454-open,open,-0.412832,0.836391,9
mistranslation,8,uw-174452-open,open,-0.302057,0.707907,9
mistranslation,5,uw-174400-open,open,-0.000199,0.880527,9
mistranslation,2,uw-174354-mcq,mcq,-0.000181,1.003394,9
mistranslation,1,uw-174331-open,open,-0.000134,0.813534,9
mistranslation,4,uw-174395-open,open,-0.000134,0.813534,9
mistranslation,2,uw-174354-open,open,-0.000134,0.813534,9
mistranslation,6,uw-174421-open,open,-0.000061,0.738371,9
mistranslation,3,uw-174374-open,open,-0.000061,0.738371,9
mistranslation,8,uw-174444-open,open,-0.000036,0.717920,9
mistranslation,1,uw-174342-open,open,-0.000016,0.705363,9
mistranslation,2,uw-174352-open,open,0.000003,0.699719,9
mistranslation,5,uw-174400-mcq,mcq,0.000015,0.724654,9
mistranslation,1,uw-174323-mcq,mcq,0.000015,0.724654,9
mistranslation,4,uw-174377-mcq,mcq,0.000015,0.724654,9
mistranslation,4,uw-174392-mcq,mcq,0.000015,0.724654,9
mistranslation,4,uw-174396-mcq,mcq,0.000015,0.724654,9
mistranslation,5,uw-174410-mcq,mcq,0.000015,0.724654,9
mistranslation,4,uw-174382-mcq,mcq,0.000015,0.724654,9
mistranslation,7,uw-174430-mcq,mcq,0.000051,0.691592,9
mistranslation,8,uw-174454-mcq,mcq,0.000131,0.716312,9
mistranslation,3,uw-174366-mcq,mcq,0.000131,0.716312,9
mistranslation,4,uw-174379-open,open,0.302063,0.707906,9
mistranslation,2,uw-174350-open,open,0.306942,0.713643,9
mistranslation,8,uw-174446-open,open,0.318160,0.727083,9
mistranslation,7,uw-174440-open,open,0.337046,0.749556,9
mistranslation,1,uw-174328-open,open,0.366508,0.783986,9
mistranslation,6,uw-174423-open,open,0.366508,0.783986,9
mistranslation,6,uw-174427-open,open,0.366508,0.783986,9
mistranslation,6,uw-174415-open,open,0.366508,0.783986,9
mistranslation,1,uw-174325-open,open,0.488255,0.919371,9
mistranslation,3,uw-174365-open,open,0.488255,0.919371,9
mistranslation,7,uw-174436-mcq,mcq,0.602131,0.726099,9
mistranslation,8,uw-174446-mcq,mcq,0.602131,0.726099,9
mistranslation,8,uw-174455-open,open,0.608713,1.050398,9
mistranslation,4,uw-174384-open,open,0.619032,0.734665,9
mistranslation,2,uw-174349-open,open,0.622357,0.738238,9
mistranslation,7,uw-174434-open,open,0.627666,1.065780,9
mistranslation,1,uw-174316-open,open,0.627666,1.065780,9
mistranslation,1,uw-174332-open,open,0.629149,0.740863,9
mistranslation,4,uw-174389-open,open,0.629149,0.740863,9
mistranslation,1,uw-174324-open,open,0.653659,0.757539,9
mistranslation,1,uw-174330-open,open,0.653659,0.757539,9
mistranslation,2,uw-174361-mcq,mcq,0.656712,0.765846,9
mistranslation,4,uw-174387-mcq,mcq,0.675194,0.780340,9
mistranslation,1,uw-174333-open,open,0.676696,0.780016,9
mistranslation,1,uw-174329-open,open,0.676696,0.780016,9
mistranslation,5,uw-174409-open,open,0.696140,0.787330,9
mistranslation,7,uw-174431-open,open,0.739691,0.827018,9
mistranslation,8,uw-174445-mcq,mcq,0.871928,0.925459,9
mistranslation,4,uw-174399-mcq,mcq,0.871928,0.925459,9
