ability_model,quality_method,item_count,mean_score
1.5b,google_word_by_word,186,0.6666666666666666
1.5b,llm_prompt_high,186,0.8118279569892473
1.5b,llm_prompt_low,186,0.8387096774193549
1.5b,mBART-50,186,0.6505376344086021
1.5b,nllb-200-1.3B,186,0.6881720430107527
1.7b,google_word_by_word,186,0.6989247311827957
1.7b,llm_prompt_high,186,0.8548387096774194
1.7b,llm_prompt_low,186,0.7795698924731183
1.7b,mBART-50,186,0.7688172043010753
1.7b,nllb-200-1.3B,186,0.8225806451612904
llama 1b,google_word_by_word,186,0.2903225806451613
llama 1b,llm_prompt_high,186,0.5698924731182796
llama 1b,llm_prompt_low,186,0.3172043010752688
llama 1b,mBART-50,186,0.34946236559139787
llama 1b,nllb-200-1.3B,186,0.5698924731182796
