chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
1,llama 1b,google_word_by_word,ok,44,22,8,0.36363636363636365,22,0.45454545454545453,0.432007464032546,,,
1,llama 1b,llm_prompt_high,ok,44,22,15,0.6818181818181818,22,0.5454545454545454,0.5039429305134654,,,
1,llama 1b,llm_prompt_low,ok,44,22,8,0.36363636363636365,22,0.5,0.49076608544751393,,,
1,llama 1b,mBART-50,ok,44,22,8,0.36363636363636365,22,0.4090909090909091,0.47047912058724894,,,
1,llama 1b,nllb-200-1.3B,ok,44,22,16,0.7272727272727273,22,0.45454545454545453,0.4410913174988813,,,
1,1.5b,google_word_by_word,ok,44,22,20,0.9090909090909091,22,0.5909090909090909,0.4897878730447689,,,
1,1.5b,llm_prompt_high,ok,44,22,20,0.9090909090909091,22,0.9090909090909091,0.5937573556336638,,,
1,1.5b,llm_prompt_low,ok,44,22,22,1.0,22,0.9545454545454546,0.6249806052191423,,,
1,1.5b,mBART-50,ok,44,22,17,0.7727272727272727,22,0.45454545454545453,0.49725981380220025,,,
1,1.5b,nllb-200-1.3B,ok,44,22,18,0.8181818181818182,22,0.5909090909090909,0.5313550086258025,,,
1,1.7b,google_word_by_word,ok,44,22,20,0.9090909090909091,22,0.6818181818181818,0.5366168158028268,,,
1,1.7b,llm_prompt_high,ok,44,22,21,0.9545454545454546,22,0.9090909090909091,0.566832398913768,,,
1,1.7b,llm_prompt_low,ok,44,22,20,0.9090909090909091,22,0.8636363636363636,0.5537338405197642,,,
1,1.7b,mBART-50,ok,44,22,19,0.8636363636363636,22,0.7727272727272727,0.4821508588137979,,,
1,1.7b,nllb-200-1.3B,ok,44,22,21,0.9545454545454546,22,0.7727272727272727,0.5181915564416679,,,
2,llama 1b,google_word_by_word,ok,24,12,5,0.4166666666666667,12,0.25,0.33305542591676285,,,
2,llama 1b,llm_prompt_high,ok,24,12,10,0.8333333333333334,12,0.4166666666666667,0.2814253389493022,,,
2,llama 1b,llm_prompt_low,ok,24,12,4,0.3333333333333333,12,0.4166666666666667,0.32556290212356037,,,
2,llama 1b,mBART-50,ok,24,12,4,0.3333333333333333,12,0.5833333333333334,0.3739209259301716,,,
2,llama 1b,nllb-200-1.3B,ok,24,12,7,0.5833333333333334,12,0.3333333333333333,0.414960041471951,,,
2,1.5b,google_word_by_word,ok,24,12,9,0.75,12,0.4166666666666667,0.3310316586056997,,,
2,1.5b,llm_prompt_high,ok,24,12,10,0.8333333333333334,12,0.5833333333333334,0.4130978082855892,,,
2,1.5b,llm_prompt_low,ok,24,12,10,0.8333333333333334,12,0.5833333333333334,0.4140016326254363,,,
2,1.5b,mBART-50,ok,24,12,7,0.5833333333333334,12,0.6666666666666666,0.4916327097685242,,,
2,1.5b,nllb-200-1.3B,ok,24,12,9,0.75,12,0.5,0.549524638878855,,,
2,1.7b,google_word_by_word,ok,24,12,10,0.8333333333333334,12,0.4166666666666667,0.37321672192652544,,,
2,1.7b,llm_prompt_high,ok,24,12,11,0.9166666666666666,12,0.6666666666666666,0.42271155504593855,,,
2,1.7b,llm_prompt_low,ok,24,12,9,0.75,12,0.6666666666666666,0.3703428522765751,,,
2,1.7b,mBART-50,ok,24,12,11,0.9166666666666666,12,0.6666666666666666,0.3996410882989499,,,
2,1.7b,nllb-200-1.3B,ok,24,12,11,0.9166666666666666,12,0.8333333333333334,0.40375906300327663,,,
3,llama 1b,google_word_by_word,ok,14,7,2,0.2857142857142857,7,0.2857142857142857,0.3283632269298286,,,
3,llama 1b,llm_prompt_high,ok,14,7,5,0.7142857142857143,7,0.2857142857142857,0.3616289658538306,,,
3,llama 1b,llm_prompt_low,ok,14,7,4,0.5714285714285714,7,0.14285714285714285,0.30641685831408594,,,
3,llama 1b,mBART-50,ok,14,7,2,0.2857142857142857,7,0.5714285714285714,0.4338919021623423,,,
3,llama 1b,nllb-200-1.3B,ok,14,7,4,0.5714285714285714,7,0.7142857142857143,0.5109849953830643,,,
3,1.5b,google_word_by_word,ok,14,7,7,1.0,7,0.5714285714285714,0.5440535730155585,,,
3,1.5b,llm_prompt_high,ok,14,7,7,1.0,7,0.7142857142857143,0.6692727801541324,,,
3,1.5b,llm_prompt_low,ok,14,7,7,1.0,7,0.8571428571428571,0.569487294009192,,,
3,1.5b,mBART-50,ok,14,7,7,1.0,7,0.5714285714285714,0.5176628392294632,,,
3,1.5b,nllb-200-1.3B,ok,14,7,7,1.0,7,0.7142857142857143,0.5908523796159365,,,
3,1.7b,google_word_by_word,ok,14,7,7,1.0,7,0.5714285714285714,0.41928124573518105,,,
3,1.7b,llm_prompt_high,ok,14,7,7,1.0,7,1.0,0.6264143621690755,,,
3,1.7b,llm_prompt_low,ok,14,7,7,1.0,7,0.8571428571428571,0.5130507016954599,,,
3,1.7b,mBART-50,ok,14,7,7,1.0,7,0.5714285714285714,0.4581297942527036,,,
3,1.7b,nllb-200-1.3B,ok,14,7,6,0.8571428571428571,7,0.8571428571428571,0.5984899803779667,,,
4,llama 1b,google_word_by_word,ok,44,22,5,0.22727272727272727,22,0.2727272727272727,0.3634664257858684,,,
4,llama 1b,llm_prompt_high,ok,44,22,15,0.6818181818181818,22,0.5454545454545454,0.4340273634475666,,,
4,llama 1b,llm_prompt_low,ok,44,22,6,0.2727272727272727,22,0.22727272727272727,0.3285829603164126,,,
4,llama 1b,mBART-50,ok,44,22,8,0.36363636363636365,22,0.45454545454545453,0.3619560592384526,,,
4,llama 1b,nllb-200-1.3B,ok,44,22,16,0.7272727272727273,22,0.5454545454545454,0.41701998365412807,,,
4,1.5b,google_word_by_word,ok,44,22,19,0.8636363636363636,22,0.5909090909090909,0.43011553069024644,,,
4,1.5b,llm_prompt_high,ok,44,22,19,0.8636363636363636,22,0.6363636363636364,0.4278994719737049,,,
4,1.5b,llm_prompt_low,ok,44,22,20,0.9090909090909091,22,0.7272727272727273,0.5174843893262566,,,
4,1.5b,mBART-50,ok,44,22,17,0.7727272727272727,22,0.5454545454545454,0.41772129810183556,,,
4,1.5b,nllb-200-1.3B,ok,44,22,17,0.7727272727272727,22,0.45454545454545453,0.3786726967222163,,,
