chapter,kind,method,level,cometkiwi_mean,cometkiwi_min,n_scored,n_missing_target_verses
1,method,google_word_by_word,,0.454704,0.307893,80,0
1,method,llm_prompt_low,,0.559605,0.248275,80,0
1,method,llm_prompt_medium,,0.605610,0.286995,79,1
1,method,llm_prompt_high,,0.633655,0.253716,80,0
1,method,helsinki,,0.772647,0.440994,80,0
1,method,mBART-50,,0.770236,0.319496,80,0
1,method,nllb-200-distilled-600M,,0.758136,0.541341,80,0
1,method,nllb-200-1.3B,,0.761187,0.450582,80,0
2,method,google_word_by_word,,0.453987,0.269402,52,0
2,method,llm_prompt_low,,0.665595,0.443549,52,0
2,method,llm_prompt_medium,,0.674813,0.408346,51,1
2,method,llm_prompt_high,,0.667130,0.409730,51,1
2,method,helsinki,,0.795378,0.503513,52,0
2,method,mBART-50,,0.775970,0.335612,52,0
2,method,nllb-200-distilled-600M,,0.774579,0.541671,52,0
2,method,nllb-200-1.3B,,0.775058,0.597455,52,0
3,method,google_word_by_word,,0.537264,0.338535,38,0
3,method,llm_prompt_low,,0.664836,0.369928,38,0
3,method,llm_prompt_medium,,0.644792,0.354769,38,0
3,method,llm_prompt_high,,0.722217,0.464398,38,0
3,method,helsinki,,0.726039,0.469103,38,0
3,method,mBART-50,,0.686254,0.281102,38,0
3,method,nllb-200-distilled-600M,,0.712580,0.283643,38,0
3,method,nllb-200-1.3B,,0.711121,0.300900,38,0
4,method,google_word_by_word,,0.513140,0.332652,43,0
4,method,llm_prompt_low,,0.674550,0.218722,43,0
4,method,llm_prompt_medium,,0.684919,0.240870,43,0
4,method,llm_prompt_high,,0.688058,0.253647,43,0
4,method,helsinki,,0.790620,0.530786,43,0
4,method,mBART-50,,0.789442,0.484881,43,0
4,method,nllb-200-distilled-600M,,0.778321,0.290840,43,0
4,method,nllb-200-1.3B,,0.787818,0.606146,43,0
5,method,google_word_by_word,,0.500505,0.341658,38,0
5,method,llm_prompt_low,,0.663251,0.359994,38,0
5,method,llm_prompt_medium,,0.688194,0.255914,38,0
5,method,llm_prompt_high,,0.706156,0.241429,38,0
5,method,helsinki,,0.785490,0.434645,38,0
5,method,mBART-50,,0.769070,0.469077,38,0
5,method,nllb-200-distilled-600M,,0.761118,0.548393,38,0
5,method,nllb-200-1.3B,,0.749161,0.523991,38,0
6,method,google_word_by_word,,0.539031,0.379978,48,0
6,method,llm_prompt_low,,0.703509,0.410591,48,0
6,method,llm_prompt_medium,,0.725077,0.392883,47,1
6,method,llm_prompt_high,,0.726368,0.383465,48,0
6,method,helsinki,,0.740755,0.341526,48,0
6,method,mBART-50,,0.753742,0.446909,48,0
6,method,nllb-200-distilled-600M,,0.722100,0.381279,48,0
6,method,nllb-200-1.3B,,0.736527,0.421297,48,0
7,method,google_word_by_word,,0.532914,0.365169,50,0
7,method,llm_prompt_low,,0.701479,0.403286,48,2
7,method,llm_prompt_medium,,0.381664,0.259011,50,0
7,method,llm_prompt_high,,0.712957,0.458334,50,0
7,method,helsinki,,0.793122,0.578719,50,0
7,method,mBART-50,,0.772024,0.448436,50,0
7,method,nllb-200-distilled-600M,,0.770013,0.462232,50,0
7,method,nllb-200-1.3B,,0.767086,0.368971,50,0
8,method,google_word_by_word,,0.514249,0.376043,56,0
8,method,llm_prompt_low,,0.646865,0.258099,56,0
8,method,llm_prompt_medium,,0.694108,0.502014,56,0
8,method,llm_prompt_high,,0.682977,0.310059,56,0
8,method,helsinki,,0.783064,0.472827,56,0
8,method,mBART-50,,0.786558,0.547574,56,0
8,method,nllb-200-distilled-600M,,0.770626,0.532523,56,0
8,method,nllb-200-1.3B,,0.754781,0.467032,56,0
