chapter,kind,method,level,cometkiwi_mean,cometkiwi_min,n_scored,n_missing_target_verses
1,method,google_word_by_word,,0.551760,0.402716,80,0
1,method,llm_prompt_low,,0.677007,0.252649,80,0
1,method,llm_prompt_medium,,0.666852,0.257772,79,1
1,method,llm_prompt_high,,0.699399,0.265224,80,0
1,method,helsinki,,0.772647,0.440994,80,0
1,method,mBART-50,,0.770236,0.319496,80,0
1,method,nllb-200-distilled-600M,,0.758136,0.541341,80,0
1,method,nllb-200-1.3B,,0.761187,0.450582,80,0
2,method,google_word_by_word,,0.548519,0.384983,52,0
2,method,llm_prompt_low,,0.740870,0.510897,52,0
2,method,llm_prompt_medium,,0.774085,0.570937,51,1
2,method,llm_prompt_high,,0.730687,0.539835,51,1
2,method,helsinki,,0.795378,0.503513,52,0
2,method,mBART-50,,0.775970,0.335612,52,0
2,method,nllb-200-distilled-600M,,0.774579,0.541671,52,0
2,method,nllb-200-1.3B,,0.775058,0.597455,52,0
3,method,google_word_by_word,,0.592771,0.407245,38,0
3,method,llm_prompt_low,,0.722544,0.538248,38,0
3,method,llm_prompt_medium,,0.701654,0.448948,38,0
3,method,llm_prompt_high,,0.720307,0.435933,38,0
3,method,helsinki,,0.726039,0.469103,38,0
3,method,mBART-50,,0.686254,0.281102,38,0
3,method,nllb-200-distilled-600M,,0.712580,0.283643,38,0
3,method,nllb-200-1.3B,,0.711121,0.300899,38,0
4,method,google_word_by_word,,0.568393,0.416313,43,0
4,method,llm_prompt_low,,0.763142,0.207753,43,0
4,method,llm_prompt_medium,,0.768198,0.233268,43,0
4,method,llm_prompt_high,,0.779353,0.246038,43,0
4,method,helsinki,,0.790620,0.530786,43,0
4,method,mBART-50,,0.789442,0.484881,43,0
4,method,nllb-200-distilled-600M,,0.778321,0.290840,43,0
4,method,nllb-200-1.3B,,0.787818,0.606146,43,0
5,method,google_word_by_word,,0.542357,0.341658,38,0
5,method,llm_prompt_low,,0.739038,0.508422,38,0
5,method,llm_prompt_medium,,0.750280,0.255914,38,0
5,method,llm_prompt_high,,0.762904,0.241429,38,0
5,method,helsinki,,0.785490,0.434645,38,0
5,method,mBART-50,,0.769070,0.469077,38,0
5,method,nllb-200-distilled-600M,,0.761118,0.548393,38,0
5,method,nllb-200-1.3B,,0.749161,0.523991,38,0
6,method,google_word_by_word,,0.563614,0.430368,48,0
6,method,llm_prompt_low,,0.749878,0.552190,48,0
6,method,llm_prompt_medium,,0.764798,0.392883,47,1
6,method,llm_prompt_high,,0.764590,0.506366,48,0
6,method,helsinki,,0.740755,0.341526,48,0
6,method,mBART-50,,0.753742,0.446909,48,0
6,method,nllb-200-distilled-600M,,0.722100,0.381279,48,0
6,method,nllb-200-1.3B,,0.736527,0.421297,48,0
7,method,google_word_by_word,,0.589903,0.421874,50,0
7,method,llm_prompt_low,,0.774845,0.457643,48,2
7,method,llm_prompt_medium,,0.385516,0.239135,50,0
7,method,llm_prompt_high,,0.790026,0.543720,50,0
7,method,helsinki,,0.793122,0.578719,50,0
7,method,mBART-50,,0.772024,0.448436,50,0
7,method,nllb-200-distilled-600M,,0.770013,0.462232,50,0
7,method,nllb-200-1.3B,,0.767086,0.368971,50,0
8,method,google_word_by_word,,0.558313,0.424439,56,0
8,method,llm_prompt_low,,0.704634,0.258099,56,0
8,method,llm_prompt_medium,,0.759991,0.522261,56,0
8,method,llm_prompt_high,,0.745436,0.310059,56,0
8,method,helsinki,,0.783064,0.472827,56,0
8,method,mBART-50,,0.786558,0.547574,56,0
8,method,nllb-200-distilled-600M,,0.770626,0.532523,56,0
8,method,nllb-200-1.3B,,0.754781,0.467032,56,0
