chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
1,llama 1b,google_word_by_word,ok,44,22,8,0.36363636363636365,22,0.4090909090909091,,,,
1,llama 1b,helsinki,ok,44,22,7,0.3181818181818182,22,0.4318181818181818,,,,
1,llama 1b,llm_prompt_high,ok,44,22,15,0.6818181818181818,22,0.4772727272727273,,,,
1,llama 1b,llm_prompt_low,ok,44,22,8,0.36363636363636365,22,0.4090909090909091,,,,
1,llama 1b,llm_prompt_medium,ok,44,22,8,0.36363636363636365,22,0.4772727272727273,,,,
1,llama 1b,mBART-50,ok,44,22,8,0.36363636363636365,22,0.5227272727272727,,,,
1,llama 1b,nllb-200-1.3B,ok,44,22,16,0.7272727272727273,22,0.38636363636363635,,,,
1,llama 1b,nllb-200-distilled-600M,ok,44,22,6,0.2727272727272727,22,0.5227272727272727,,,,
1,1.5b,google_word_by_word,ok,44,22,20,0.9090909090909091,22,0.36363636363636365,,,,
1,1.5b,helsinki,ok,44,22,22,1.0,22,0.7727272727272727,,,,
1,1.5b,llm_prompt_high,ok,44,22,20,0.9090909090909091,22,0.7272727272727273,,,,
1,1.5b,llm_prompt_low,ok,44,22,22,1.0,22,0.8409090909090909,,,,
1,1.5b,llm_prompt_medium,ok,44,22,20,0.9090909090909091,22,0.6363636363636364,,,,
1,1.5b,mBART-50,ok,44,22,17,0.7727272727272727,22,0.5909090909090909,,,,
1,1.5b,nllb-200-1.3B,ok,44,22,18,0.8181818181818182,22,0.6136363636363636,,,,
1,1.5b,nllb-200-distilled-600M,ok,44,22,18,0.8181818181818182,22,0.7727272727272727,,,,
1,1.7b,google_word_by_word,ok,44,22,20,0.9090909090909091,22,0.6590909090909091,,,,
1,1.7b,helsinki,ok,44,22,20,0.9090909090909091,22,0.6363636363636364,,,,
1,1.7b,llm_prompt_high,ok,44,22,21,0.9545454545454546,22,0.8181818181818182,,,,
1,1.7b,llm_prompt_low,ok,44,22,20,0.9090909090909091,22,0.8181818181818182,,,,
1,1.7b,llm_prompt_medium,ok,44,22,19,0.8636363636363636,22,0.7954545454545454,,,,
1,1.7b,mBART-50,ok,44,22,19,0.8636363636363636,22,0.6818181818181818,,,,
1,1.7b,nllb-200-1.3B,ok,44,22,21,0.9545454545454546,22,0.7272727272727273,,,,
1,1.7b,nllb-200-distilled-600M,ok,44,22,20,0.9090909090909091,22,0.6818181818181818,,,,
2,llama 1b,google_word_by_word,ok,24,12,5,0.4166666666666667,12,0.25,,,,
2,llama 1b,helsinki,ok,24,12,1,0.08333333333333333,12,0.25,,,,
2,llama 1b,llm_prompt_high,ok,24,12,10,0.8333333333333334,12,0.25,,,,
