ability_model,quality_method,item_count,mean_score
1.5b,google_word_by_word,186,0.6182795698924731
1.5b,llm_prompt_high,186,0.7688172043010753
1.5b,llm_prompt_low,186,0.8279569892473119
1.5b,mBART-50,186,0.6639784946236559
1.5b,nllb-200-1.3B,186,0.6827956989247311
1.7b,google_word_by_word,186,0.6827956989247311
1.7b,llm_prompt_high,186,0.8655913978494624
1.7b,llm_prompt_low,186,0.782258064516129
1.7b,mBART-50,186,0.717741935483871
1.7b,nllb-200-1.3B,186,0.7741935483870968
llama 1b,google_word_by_word,186,0.27419354838709675
llama 1b,llm_prompt_high,186,0.5456989247311828
llama 1b,llm_prompt_low,186,0.33602150537634407
llama 1b,mBART-50,186,0.3225806451612903
llama 1b,nllb-200-1.3B,186,0.5376344086021505
