item_key,id,defect,base_defect,family,q_type,chapter,n_obs,n_levels,dose_spread,y_var,s_i,se_s_i,s_per_dose,c_i,converged,q_var_ok
luke2:item23:open,uw-174362-open,addition:adversarial,addition,adversarial,open,2,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke4:item23:open,uw-174393-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke4:item35:open,uw-174398-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke4:item6:mcq,uw-174379-mcq,addition:adversarial,addition,adversarial,mcq,4,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke4:item7:open,uw-174380-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke5:item12:mcq,uw-174404-mcq,addition:adversarial,addition,adversarial,mcq,5,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke5:item15:open,uw-174407-open,addition:adversarial,addition,adversarial,open,5,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke5:item9:open,uw-174403-open,addition:adversarial,addition,adversarial,open,5,6,6,0.3,0.25,1.24666,0.74743,12.64348,0.18699,1,1
luke1:item23:open,uw-174331-open,addition:adversarial,addition,adversarial,open,1,6,6,0.3,0.22222,1.21733,0.74556,12.34597,0.9498,1,1
luke1:item35:open,uw-174340-open,addition:adversarial,addition,adversarial,open,1,6,6,0.3,0.22222,1.21733,0.74556,12.34597,0.9498,1,1
luke5:item22:mcq,uw-174410-mcq,addition:adversarial,addition,adversarial,mcq,5,6,6,0.3,0.22222,1.21733,0.74556,12.34597,0.9498,1,1
luke7:item12:mcq,uw-174436-mcq,addition:adversarial,addition,adversarial,mcq,7,6,6,0.3,0.22222,1.21733,0.74556,12.34597,0.9498,1,1
luke2:item11:open,uw-174352-open,addition:neutral,addition,neutral,open,2,6,6,0.3,0.25,1.15049,0.73319,11.6681,0.23686,1,1
luke2:item11:open,uw-174352-open,addition:bad,addition,bad,open,2,6,6,0.3,0.22222,1.14542,0.737,11.6167,0.97422,1,1
luke5:item15:open,uw-174407-open,addition:bad,addition,bad,open,5,6,6,0.3,0.22222,1.14542,0.737,11.6167,0.97422,1,1
luke8:item3:open,uw-174445-open,addition:bad,addition,bad,open,8,6,6,0.3,0.22222,1.14542,0.737,11.6167,0.97422,1,1
luke1:item40:mcq,uw-174342-mcq,addition:neutral,addition,neutral,mcq,1,6,6,0.3,0.22222,1.12984,0.73533,11.45866,0.98493,1,1
luke2:item11:open,uw-174352-open,addition:adversarial,addition,adversarial,open,2,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke2:item19:open,uw-174359-open,addition:adversarial,addition,adversarial,open,2,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke4:item11:open,uw-174382-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke4:item21:open,uw-174392-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke4:item8:mcq,uw-174380-mcq,addition:adversarial,addition,adversarial,mcq,4,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke7:item16:mcq,uw-174441-mcq,addition:adversarial,addition,adversarial,mcq,7,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke7:item4:mcq,uw-174430-mcq,addition:adversarial,addition,adversarial,mcq,7,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke7:item7:open,uw-174432-open,addition:adversarial,addition,adversarial,open,7,6,6,0.3,0.22222,1.11499,0.74337,11.30803,-0.51856,1,1
luke1:item43:open,uw-174344-open,addition:bad,addition,bad,open,1,6,6,0.3,0.22222,1.03205,0.73107,10.46692,-0.46696,1,1
luke7:item4:mcq,uw-174430-mcq,addition:bad,addition,bad,mcq,7,6,6,0.3,0.22222,1.03205,0.73107,10.46692,-0.46696,1,1
luke2:item2:mcq,uw-174346-mcq,addition:adversarial,addition,adversarial,mcq,2,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke2:item4:mcq,uw-174347-mcq,addition:adversarial,addition,adversarial,mcq,2,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke3:item11:open,uw-174374-open,addition:adversarial,addition,adversarial,open,3,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke4:item16:mcq,uw-174387-mcq,addition:adversarial,addition,adversarial,mcq,4,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke4:item31:open,uw-174396-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke4:item5:open,uw-174379-open,addition:adversarial,addition,adversarial,open,4,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke5:item16:mcq,uw-174407-mcq,addition:adversarial,addition,adversarial,mcq,5,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke6:item13:open,uw-174427-open,addition:adversarial,addition,adversarial,open,6,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke6:item16:mcq,uw-174428-mcq,addition:adversarial,addition,adversarial,mcq,6,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke8:item3:open,uw-174445-open,addition:adversarial,addition,adversarial,open,8,6,6,0.3,0.13889,1.02794,0.75611,10.42518,1.75784,1,1
luke2:item19:open,uw-174359-open,addition:neutral,addition,neutral,open,2,6,6,0.3,0.22222,1.01275,0.72805,10.27119,-0.45107,1,1
luke4:item19:open,uw-174389-open,addition:neutral,addition,neutral,open,4,6,6,0.3,0.22222,1.01275,0.72805,10.27119,-0.45107,1,1
luke1:item13:open,uw-174325-open,addition:bad,addition,bad,open,1,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke1:item17:open,uw-174328-open,addition:bad,addition,bad,open,1,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke1:item40:mcq,uw-174342-mcq,addition:bad,addition,bad,mcq,1,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke4:item43:open,uw-174398-open,addition:bad,addition,bad,open,4,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke5:item9:open,uw-174403-open,addition:bad,addition,bad,open,5,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke7:item9:open,uw-174434-open,addition:bad,addition,bad,open,7,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke8:item16:mcq,uw-174454-mcq,addition:bad,addition,bad,mcq,8,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke8:item18:mcq,uw-174455-mcq,addition:bad,addition,bad,mcq,8,6,6,0.3,0.13889,0.95866,0.75422,9.72254,1.77908,1,1
luke2:item5:open,uw-174349-open,addition:neutral,addition,neutral,open,2,6,6,0.3,0.13889,0.94405,0.75439,9.57446,1.79081,1,1
luke4:item5:open,uw-174379-open,addition:neutral,addition,neutral,open,4,6,6,0.3,0.13889,0.94405,0.75439,9.57446,1.79081,1,1
luke4:item7:open,uw-174380-open,addition:neutral,addition,neutral,open,4,6,6,0.3,0.13889,0.94405,0.75439,9.57446,1.79081,1,1
luke5:item22:mcq,uw-174410-mcq,addition:neutral,addition,neutral,mcq,5,6,6,0.3,0.13889,0.94405,0.75439,9.57446,1.79081,1,1
luke5:item5:open,uw-174402-open,addition:neutral,addition,neutral,open,5,6,6,0.3,0.13889,0.94405,0.75439,9.57446,1.79081,1,1
