model,condition,open_clean,open_bt
1.7b,omission/0%,0.883,0.862
1.7b,omission/10%,0.862,0.798
1.7b,omission/20%,0.718,0.686
1.7b,omission/30%,0.681,0.654
1.7b,mistranslation/20%,0.793,0.718
1.7b,grammar/30%,0.862,0.824
1.7b,google_word_by_word,0.771,0.718
1.5b,omission/0%,0.872,0.819
1.5b,omission/10%,0.803,0.745
1.5b,omission/20%,0.686,0.622
1.5b,omission/30%,0.633,0.569
1.5b,mistranslation/20%,0.745,0.681
1.5b,grammar/30%,0.803,0.734
1.5b,google_word_by_word,0.702,0.59
llama 1b,omission/0%,0.633,0.622
llama 1b,omission/10%,0.559,0.548
llama 1b,omission/20%,0.559,0.543
llama 1b,omission/30%,0.468,0.41
llama 1b,mistranslation/20%,0.553,0.516
llama 1b,grammar/30%,0.633,0.601
llama 1b,google_word_by_word,0.511,0.463
