id,clean_acc,n_models
uw-174366-mcq,0.33,3
uw-174454-mcq,0.33,3
uw-174323-mcq,0.67,3
uw-174333-mcq,0.67,3
uw-174361-mcq,0.67,3
uw-174370-mcq,0.67,3
uw-174377-mcq,0.67,3
uw-174382-mcq,0.67,3
uw-174392-mcq,0.67,3
uw-174396-mcq,0.67,3
uw-174410-mcq,0.67,3
uw-174430-mcq,0.67,3
uw-174436-mcq,0.67,3
uw-174446-mcq,0.67,3
uw-174316-mcq,1.00,3
uw-174317-mcq,1.00,3
uw-174318-mcq,1.00,3
uw-174322-mcq,1.00,3
uw-174324-mcq,1.00,3
uw-174325-mcq,1.00,3
uw-174326-mcq,1.00,3
uw-174328-mcq,1.00,3
uw-174329-mcq,1.00,3
uw-174330-mcq,1.00,3
uw-174331-mcq,1.00,3
uw-174332-mcq,1.00,3
uw-174335-mcq,1.00,3
uw-174336-mcq,1.00,3
uw-174339-mcq,1.00,3
uw-174340-mcq,1.00,3
uw-174341-mcq,1.00,3
uw-174342-mcq,1.00,3
uw-174343-mcq,1.00,3
uw-174344-mcq,1.00,3
uw-174347-mcq,1.00,3
uw-174349-mcq,1.00,3
uw-174350-mcq,1.00,3
uw-174351-mcq,1.00,3
uw-174352-mcq,1.00,3
uw-174354-mcq,1.00,3
uw-174355-mcq,1.00,3
uw-174357-mcq,1.00,3
uw-174359-mcq,1.00,3
uw-174362-mcq,1.00,3
uw-174365-mcq,1.00,3
uw-174367-mcq,1.00,3
uw-174368-mcq,1.00,3
uw-174374-mcq,1.00,3
uw-174375-mcq,1.00,3
uw-174378-mcq,1.00,3
uw-174379-mcq,1.00,3
uw-174380-mcq,1.00,3
uw-174381-mcq,1.00,3
uw-174384-mcq,1.00,3
uw-174387-mcq,1.00,3
uw-174389-mcq,1.00,3
uw-174393-mcq,1.00,3
uw-174394-mcq,1.00,3
uw-174395-mcq,1.00,3
uw-174397-mcq,1.00,3
uw-174398-mcq,1.00,3
uw-174399-mcq,1.00,3
uw-174400-mcq,1.00,3
uw-174401-mcq,1.00,3
uw-174402-mcq,1.00,3
uw-174403-mcq,1.00,3
uw-174404-mcq,1.00,3
uw-174406-mcq,1.00,3
uw-174407-mcq,1.00,3
uw-174408-mcq,1.00,3
uw-174409-mcq,1.00,3
uw-174412-mcq,1.00,3
uw-174414-mcq,1.00,3
uw-174415-mcq,1.00,3
uw-174421-mcq,1.00,3
uw-174422-mcq,1.00,3
uw-174423-mcq,1.00,3
uw-174424-mcq,1.00,3
uw-174427-mcq,1.00,3
uw-174428-mcq,1.00,3
uw-174429-mcq,1.00,3
uw-174431-mcq,1.00,3
uw-174432-mcq,1.00,3
uw-174434-mcq,1.00,3
uw-174440-mcq,1.00,3
uw-174441-mcq,1.00,3
uw-174442-mcq,1.00,3
uw-174444-mcq,1.00,3
uw-174445-mcq,1.00,3
uw-174447-mcq,1.00,3
uw-174448-mcq,1.00,3
uw-174449-mcq,1.00,3
uw-174452-mcq,1.00,3
uw-174455-mcq,1.00,3
