id,clean_score,n_models
uw-174429-open,0.00,3
uw-174341-open,0.17,3
uw-174455-open,0.17,3
uw-174329-open,0.33,3
uw-174361-open,0.33,3
uw-174407-open,0.33,3
uw-174452-open,0.33,3
uw-174333-open,0.50,3
uw-174342-open,0.50,3
uw-174352-open,0.50,3
uw-174431-open,0.50,3
uw-174317-open,0.67,3
uw-174331-open,0.67,3
uw-174332-open,0.67,3
uw-174336-open,0.67,3
uw-174340-open,0.67,3
uw-174344-open,0.67,3
uw-174349-open,0.67,3
uw-174350-open,0.67,3
uw-174354-open,0.67,3
uw-174357-open,0.67,3
uw-174374-open,0.67,3
uw-174379-open,0.67,3
uw-174384-open,0.67,3
uw-174389-open,0.67,3
uw-174401-open,0.67,3
uw-174410-open,0.67,3
uw-174412-open,0.67,3
uw-174421-open,0.67,3
uw-174440-open,0.67,3
uw-174444-open,0.67,3
uw-174445-open,0.67,3
uw-174446-open,0.67,3
uw-174454-open,0.67,3
uw-174324-open,0.83,3
uw-174328-open,0.83,3
uw-174330-open,0.83,3
uw-174335-open,0.83,3
uw-174362-open,0.83,3
uw-174399-open,0.83,3
uw-174409-open,0.83,3
uw-174415-open,0.83,3
uw-174423-open,0.83,3
uw-174427-open,0.83,3
uw-174428-open,0.83,3
uw-174432-open,0.83,3
uw-174436-open,0.83,3
uw-174441-open,0.83,3
uw-174448-open,0.83,3
uw-174316-open,1.00,3
uw-174318-open,1.00,3
uw-174322-open,1.00,3
uw-174323-open,1.00,3
uw-174325-open,1.00,3
uw-174326-open,1.00,3
uw-174339-open,1.00,3
uw-174343-open,1.00,3
uw-174347-open,1.00,3
uw-174351-open,1.00,3
uw-174355-open,1.00,3
uw-174359-open,1.00,3
uw-174365-open,1.00,3
uw-174366-open,1.00,3
uw-174367-open,1.00,3
uw-174368-open,1.00,3
uw-174370-open,1.00,3
uw-174375-open,1.00,3
uw-174377-open,1.00,3
uw-174378-open,1.00,3
uw-174380-open,1.00,3
uw-174381-open,1.00,3
uw-174387-open,1.00,3
uw-174392-open,1.00,3
uw-174393-open,1.00,3
uw-174394-open,1.00,3
uw-174395-open,1.00,3
uw-174396-open,1.00,3
uw-174397-open,1.00,3
uw-174398-open,1.00,3
uw-174400-open,1.00,3
uw-174402-open,1.00,3
uw-174403-open,1.00,3
uw-174404-open,1.00,3
uw-174406-open,1.00,3
uw-174408-open,1.00,3
uw-174414-open,1.00,3
uw-174422-open,1.00,3
uw-174424-open,1.00,3
uw-174430-open,1.00,3
uw-174434-open,1.00,3
uw-174442-open,1.00,3
uw-174447-open,1.00,3
uw-174449-open,1.00,3
