dimension,family,outcome,n,n_passages,rho,ci_low,ci_high,within_passage_permutation_p,bh_q
structure_dependence,omission,s_i,72,10,-0.03344967001419088,-0.3318722826103445,0.28865969725336194,0.7896420715856829,0.9976004799040193
structure_dependence,omission,p,72,10,0.040129514824515246,-0.2157757182335316,0.34429197302120734,0.7406518696260748,0.9976004799040193
structure_dependence,omission,neg_log10_p,72,10,-0.040129514824515246,-0.34429197302120784,0.21577571823353128,0.7406518696260748,0.9976004799040193
structure_dependence,mistranslation,s_i,72,10,0.015216842564295466,-0.270254898404566,0.3871155903380633,0.9050189962007599,0.9976004799040193
structure_dependence,mistranslation,p,72,10,-0.10726946183441774,-0.44659898967458966,0.1816571763736142,0.3773245350929814,0.9976004799040193
structure_dependence,mistranslation,neg_log10_p,72,10,0.10726946183441774,-0.18165717637361456,0.44659898967458933,0.3773245350929814,0.9976004799040193
structure_dependence,adversarial,s_i,72,10,-0.1321662744621029,-0.27215161604901966,-0.009679864573919185,0.3053389322135573,0.9976004799040193
structure_dependence,adversarial,p,72,10,-0.043933241853887035,-0.2642621034944402,0.20178709828058497,0.7290541891621676,0.9976004799040193
structure_dependence,adversarial,neg_log10_p,72,10,0.043933241853887035,-0.20178709828058505,0.26426210349444007,0.7290541891621676,0.9976004799040193
statement_uniqueness,omission,s_i,72,10,0.032474587289841095,-0.29550922098468146,0.28469045511904556,0.7780443911217756,0.9976004799040193
statement_uniqueness,omission,p,72,10,-0.02205818060722509,-0.2957233249915511,0.2585235534856343,0.8532293541291741,0.9976004799040193
statement_uniqueness,omission,neg_log10_p,72,10,0.02205818060722509,-0.25852355348563444,0.29572332499155096,0.8532293541291741,0.9976004799040193
statement_uniqueness,mistranslation,s_i,72,10,0.012647902922971226,-0.20415091967504656,0.24323570819532345,0.9204159168166367,0.9976004799040193
statement_uniqueness,mistranslation,p,72,10,0.040689066395254304,-0.12410395882589263,0.18565690564869453,0.752249550089982,0.9976004799040193
statement_uniqueness,mistranslation,neg_log10_p,72,10,-0.040689066395254304,-0.18565690564869475,0.12410395882589248,0.752249550089982,0.9976004799040193
statement_uniqueness,adversarial,s_i,72,10,-0.1297360744940112,-0.30400897127250703,0.05920585507886391,0.26654669066186765,0.9976004799040193
statement_uniqueness,adversarial,p,72,10,0.19176603267301978,-0.033164917953349804,0.42259036892623375,0.10977804439112178,0.9976004799040193
statement_uniqueness,adversarial,neg_log10_p,72,10,-0.19176603267301978,-0.4225903689262345,0.03316491795334965,0.10977804439112178,0.9976004799040193
answer_certainty,omission,s_i,72,10,0.0765157471318826,-0.1596824876112826,0.2715514166556832,0.523495300939812,0.9976004799040193
answer_certainty,omission,p,72,10,0.018177031440623066,-0.19688236317239188,0.3204807531103698,0.8828234353129374,0.9976004799040193
answer_certainty,omission,neg_log10_p,72,10,-0.018177031440623066,-0.32048075311037,0.19688236317239183,0.8828234353129374,0.9976004799040193
answer_certainty,mistranslation,s_i,72,10,-0.0043257062796274864,-0.25635279982744824,0.2162595006706367,0.967006598680264,0.9976004799040193
answer_certainty,mistranslation,p,72,10,0.14634270237059635,-0.06760234046875224,0.3791135878150238,0.1941611677664467,0.9976004799040193
answer_certainty,mistranslation,neg_log10_p,72,10,-0.14634270237059635,-0.3791135878150238,0.06760234046875206,0.1941611677664467,0.9976004799040193
answer_certainty,adversarial,s_i,72,10,-0.14473676562601379,-0.3807189201787782,0.10287530103359041,0.20155968806238753,0.9976004799040193
answer_certainty,adversarial,p,72,10,0.2748669191144599,0.049336095407030975,0.546236182982292,0.014797040591881624,0.355128974205159
answer_certainty,adversarial,neg_log10_p,72,10,-0.2748669191144599,-0.5462361829822923,-0.04933609540703101,0.014797040591881624,0.355128974205159
centrality,omission,s_i,72,10,-0.09885600336466852,-0.3632237275889361,0.18513311473076913,0.36992601479704057,0.9976004799040193
centrality,omission,p,72,10,0.07640982227380327,-0.13484219239453527,0.2978470421675752,0.5108978204359128,0.9976004799040193
centrality,omission,neg_log10_p,72,10,-0.07640982227380327,-0.2978470421675753,0.13484219239453515,0.5108978204359128,0.9976004799040193
centrality,mistranslation,s_i,72,10,-0.09980150389042167,-0.2679315866368021,0.1295044728803818,0.3997200559888022,0.9976004799040193
centrality,mistranslation,p,72,10,0.030349284001981943,-0.23215890399781144,0.3160986008396978,0.7838432313537292,0.9976004799040193
centrality,mistranslation,neg_log10_p,72,10,-0.030349284001981943,-0.316098600839698,0.23215890399781144,0.7838432313537292,0.9976004799040193
centrality,adversarial,s_i,72,10,-0.05068591203078146,-0.2828791268586313,0.25444695201688816,0.6792641471705659,0.9976004799040193
centrality,adversarial,p,72,10,-0.0005230743256853076,-0.2565455501304618,0.24982119469867295,0.9976004799040192,0.9976004799040193
centrality,adversarial,neg_log10_p,72,10,0.0005230743256853076,-0.2498211946986731,0.2565455501304618,0.9976004799040192,0.9976004799040193
