participant,ability
p1,-0.695470
p2,-0.500458
p3,-0.594080
p4,-0.693580
p5,-0.692346
p6,-0.410733
p7,-0.594168
p8,-0.696202
p9,-0.968462
p10,-0.237542
p11,-0.959295
p12,-0.593885
p13,-0.411316
p14,-0.499747
p15,-0.693194
p16,-0.499556
p17,-0.410322
p18,-0.146344
p19,0.104097
p20,-0.236805
p21,-0.069116
p22,-0.151828
p23,-0.065199
p24,-0.069152
p25,0.105720
p26,-0.062715
p27,0.192115
p28,-0.069613
p29,-0.151988
p30,-0.147094
p31,0.354070
p32,0.190855
p33,0.356603
p34,0.272199
p35,0.444380
p36,0.716224
p37,0.276175
p38,0.451803
p39,0.819985
p40,0.450292
p41,0.539204
p42,0.723071
p43,0.354076
p44,0.538856
p45,0.820493
p46,0.444739
p47,0.722768
p48,0.806935
p49,0.815965
p50,0.819581
