item,ptq,difficulty
q1,0.996848,0.000000
q2,0.997748,0.000000
q3,0.997517,0.000000
q4,0.997232,0.000000
q5,0.997745,0.000000
q6,0.996920,0.000000
q7,0.995669,0.000000
q8,0.997465,1.000000
q9,0.997545,1.000000
q10,0.994438,0.000000
q11,0.784234,0.000000
q12,0.993840,0.000000
q13,0.932018,0.000000
q14,0.941688,0.000000
q15,0.996335,1.000000
q16,0.759883,0.000000
q17,0.641663,0.000000
q18,0.509983,0.000000
q19,0.787916,0.000000
q20,0.524521,0.000000
q21,0.994106,1.000000
q22,0.994724,1.000000
q23,0.995263,1.000000
q24,0.511220,0.000000
