participant,ability
p1,-1.168190
p2,-0.806674
p3,-0.976367
p4,-1.168190
p5,-1.168190
p6,-0.651650
p7,-0.976367
p8,-1.168190
p9,-1.395929
p10,-0.368980
p11,-1.395929
p12,-0.976367
p13,-0.651650
p14,-0.806674
p15,-1.168190
p16,-0.806674
p17,-0.651650
p18,-0.236160
p19,0.148053
p20,-0.368980
p21,-0.106629
p22,-0.236160
p23,-0.106629
p24,-0.106629
p25,0.148053
p26,-0.106629
p27,0.275793
p28,-0.106629
p29,-0.236160
p30,-0.236160
p31,0.539429
p32,0.275793
p33,0.539429
p34,0.405674
p35,0.679292
p36,1.175507
p37,0.405674
p38,0.679292
p39,1.394979
p40,0.679292
p41,0.828360
p42,1.175507
p43,0.539429
p44,0.828360
p45,1.394979
p46,0.679292
p47,1.175507
p48,1.394979
p49,1.394979
p50,1.394979
