item,ptq,item_quality_logit,difficulty_adjusted_probability,difficulty
q1,0.724345,0.555196,0.724345,0.000000
q2,0.854921,1.362805,0.854921,0.000000
q3,0.835818,1.216508,0.835818,0.000000
q4,0.794360,0.940484,0.794360,0.000000
q5,0.889887,1.678667,0.889887,0.000000
q6,0.724345,0.555196,0.724345,0.000000
q7,0.618553,0.072487,0.618553,0.000000
q8,0.926818,2.127882,0.698214,1.000000
q9,0.934741,2.250973,0.723502,1.000000
q10,0.618553,0.072487,0.618553,0.000000
q11,0.306207,-1.228837,0.306207,0.000000
q12,0.590440,-0.045139,0.590440,0.000000
q13,0.388392,-0.865000,0.388392,0.000000
q14,0.416889,-0.746482,0.416889,0.000000
q15,0.814282,1.067154,0.444746,1.000000
q16,0.306207,-1.228837,0.306207,0.000000
q17,0.231179,-1.612590,0.231179,0.000000
q18,0.165348,-2.029890,0.165348,0.000000
q19,0.306207,-1.228837,0.306207,0.000000
q20,0.165348,-2.029890,0.165348,0.000000
q21,0.651305,0.213855,0.254412,1.000000
q22,0.679752,0.341707,0.279414,1.000000
q23,0.731238,0.589990,0.332015,1.000000
q24,0.165348,-2.029890,0.165348,0.000000
