participant,ability
p1,-0.670518
p2,-0.685806
p3,-0.624343
p4,-0.638409
p5,-0.626033
p6,-0.631155
p7,-0.607464
p8,-0.533012
p9,-0.524532
p10,-0.490963
p11,-0.399523
p12,-0.527180
p13,-0.402240
p14,-0.378793
p15,-0.267710
p16,-0.337709
p17,-0.333909
p18,-0.295600
p19,-0.216951
p20,-0.163256
p21,-0.095870
p22,-0.106517
p23,-0.084777
p24,-0.032336
p25,0.011729
p26,-0.036378
p27,0.036819
p28,0.062043
p29,0.205429
p30,0.102557
p31,0.231993
p32,0.308581
p33,0.270735
p34,0.294243
p35,0.346868
p36,0.408904
p37,0.321492
p38,0.422878
p39,0.421593
p40,0.428572
p41,0.488039
p42,0.421692
p43,0.519542
p44,0.531621
p45,0.567930
p46,0.551244
p47,0.706327
p48,0.635405
p49,0.698328
p50,0.716420
