item,ptq,difficulty
q1,0.997391,0.000000
q2,0.997127,0.000000
q3,0.997319,0.000000
q4,0.997002,0.000000
q5,0.997087,0.000000
q6,0.996579,0.000000
q7,0.996176,0.000000
q8,0.997419,1.000000
q9,0.997146,1.000000
q10,0.993645,0.000000
q11,0.990686,0.000000
q12,0.989839,0.000000
q13,0.975332,0.000000
q14,0.964577,0.000000
q15,0.995977,1.000000
q16,0.899977,0.000000
q17,0.794040,0.000000
q18,0.828212,0.000000
q19,0.714334,0.000000
q20,0.630121,0.000000
q21,0.992804,1.000000
q22,0.993141,1.000000
q23,0.990325,1.000000
q24,0.458650,0.000000
